WaterCostInDollars,FireHazardFloodInsuranceYearlyCostInDollars,GrossRentAsPercentOfIncome,NumberOfChildrenInHousehold,NumberOfPeopleInHousehold
,,14.0,0.0,2
,710.0,,0.0,2
,,,,1
,,62.0,2.0,5
200.0,,39.0,1.0,4
,,,,0
,490.0,,0.0,1
,,,,0
,1000.0,,1.0,3
100.0,4.0,,1.0,4
,0.0,,0.0,2
,,,,1
,,24.0,2.0,4
,,,,0
,1500.0,,1.0,6
,,,,0
,,17.0,0.0,1
1300.0,550.0,,0.0,2
,,,2.0,3
,,,,0
,,,,0
190.0,1100.0,,0.0,4
,1200.0,,0.0,1
,0.0,,0.0,1
,,,,1
,,,,1
500.0,0.0,,0.0,1
,,19.0,2.0,4
100.0,6000.0,,0.0,1
,0.0,,3.0,5
,,,,0
100.0,100.0,,0.0,1
,,,,0
1100.0,0.0,,0.0,2
,,8.0,0.0,2
,,,,0
800.0,1300.0,,0.0,2
,,,,0
,,,,1
,,,,0
,,36.0,0.0,1
,,,,0
,,15.0,1.0,3
1700.0,0.0,,0.0,2
,680.0,,0.0,2
,,,,0
840.0,1200.0,,0.0,2
,,28.0,0.0,1
,0.0,,0.0,2
,1200.0,,0.0,2
,,,,1
1300.0,620.0,,0.0,2
,0.0,,0.0,7
,1500.0,,0.0,2
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,23.0,2.0,5
,,39.0,0.0,3
1800.0,3000.0,,3.0,5
,,33.0,0.0,1
140.0,2000.0,,0.0,2
1200.0,3300.0,,0.0,2
,1200.0,,0.0,2
,,,,1
,,,,0
,950.0,,0.0,3
1800.0,800.0,,0.0,2
,,,,0
,,33.0,1.0,3
1300.0,1500.0,,0.0,2
,2000.0,,0.0,2
,,,,0
,,,,1
780.0,1200.0,,0.0,2
,,101.0,2.0,3
720.0,130.0,,0.0,1
,,,,1
600.0,0.0,,1.0,2
250.0,3500.0,,0.0,2
780.0,1600.0,,0.0,3
860.0,0.0,,2.0,6
,2500.0,,0.0,2
,1200.0,,0.0,1
830.0,0.0,,1.0,6
,200.0,,0.0,2
850.0,0.0,,0.0,3
,,,,1
580.0,1200.0,,2.0,4
,,,,1
,,,,0
,0.0,,2.0,6
,,21.0,0.0,1
,,,,1
1100.0,900.0,,0.0,1
960.0,0.0,,0.0,2
1800.0,0.0,,0.0,2
,,51.0,0.0,1
60.0,800.0,,0.0,2
1800.0,0.0,,1.0,5
,,13.0,0.0,1
,,28.0,0.0,1
,0.0,,0.0,2
,,,,1
,,,,0
80.0,,,2.0,4
,,,,0
,,84.0,0.0,2
,,,,0
,,,0.0,1
650.0,2600.0,,0.0,2
,,101.0,0.0,4
,,,,0
,,,,0
,,,,1
,,,0.0,2
960.0,,101.0,0.0,1
,,,,0
,1200.0,,0.0,3
1600.0,,59.0,0.0,1
140.0,0.0,,0.0,5
,1100.0,,0.0,4
1400.0,1000.0,,1.0,2
,,,,1
,,30.0,0.0,1
,,30.0,0.0,2
,,,,0
720.0,,13.0,1.0,3
,700.0,,2.0,5
,,9.0,2.0,4
,1200.0,,0.0,1
,1200.0,,0.0,1
,20.0,,0.0,3
,400.0,,0.0,2
,,25.0,0.0,2
,,,,0
,,,,0
,,17.0,0.0,3
,,,,0
,,,,1
100.0,1500.0,,2.0,4
,,,,0
1500.0,500.0,,2.0,3
,,87.0,2.0,5
,1500.0,,0.0,2
,,,,0
,,,,0
1300.0,1500.0,,0.0,1
,,,,0
,,,,1
,1500.0,,0.0,1
,,,,0
,,,,1
1300.0,1000.0,,0.0,2
,,,,0
,1300.0,,5.0,6
1200.0,660.0,,8.0,10
,,30.0,4.0,7
,1800.0,,0.0,2
,,,,0
,0.0,,0.0,1
,,,,1
,800.0,,0.0,2
,,,,0
,,,,0
,0.0,,0.0,1
100.0,1800.0,,1.0,3
,,,,0
,1200.0,,0.0,2
,,,,0
,,,,1
960.0,0.0,,0.0,7
780.0,,13.0,0.0,1
920.0,1100.0,,2.0,4
1000.0,630.0,,0.0,1
,0.0,,0.0,3
,,51.0,0.0,1
,0.0,,0.0,1
,,,,0
,,45.0,2.0,4
,,,,0
,,,,0
600.0,1800.0,,1.0,3
,,11.0,3.0,5
,,7.0,2.0,4
,,,,1
,,,,1
,0.0,,0.0,1
,,8.0,0.0,2
1700.0,1900.0,,0.0,2
,,,,1
,,,,0
200.0,1000.0,,0.0,2
,,,,1
,,,,0
970.0,3600.0,,0.0,1
,,,,1
,700.0,,0.0,1
,,,,0
,,,,0
,,,,0
720.0,,20.0,4.0,6
2000.0,900.0,,0.0,3
,,11.0,0.0,2
,1200.0,,0.0,4
,1200.0,,3.0,5
1300.0,0.0,,0.0,2
,0.0,,0.0,6
,,,,0
,,,,0
,1200.0,,0.0,1
,,,,0
,,,,0
,,,,0
,,,,0
1100.0,800.0,,0.0,2
,,,,1
,,,,0
840.0,0.0,,0.0,2
,,,,0
1200.0,0.0,,2.0,3
,,,,0
,,,,1
,,,,0
1400.0,0.0,,0.0,4
,,,,0
1200.0,300.0,,0.0,2
,1400.0,,0.0,2
1100.0,550.0,,0.0,2
,,,,0
,,,,0
,,,,0
,880.0,,0.0,2
500.0,,37.0,3.0,5
,0.0,,0.0,3
,,,,1
,,,,1
960.0,,42.0,0.0,3
100.0,850.0,,2.0,4
,,,,1
,,18.0,0.0,1
,,25.0,0.0,1
,,,,1
,1900.0,,0.0,2
,1000.0,,0.0,2
,,14.0,0.0,1
840.0,840.0,,2.0,4
600.0,,25.0,0.0,1
1400.0,2700.0,,0.0,2
,1600.0,,0.0,1
,1300.0,,0.0,3
,,,,0
60.0,1400.0,,0.0,1
,1200.0,,3.0,5
,0.0,,1.0,2
1300.0,,14.0,0.0,1
,,26.0,1.0,3
,,,2.0,4
,0.0,,0.0,3
,,,,0
80.0,,,0.0,5
,400.0,,0.0,2
,,,,1
100.0,600.0,,0.0,3
,,30.0,1.0,2
,1800.0,,0.0,11
,,,,0
,,,,1
,,,,0
,880.0,,0.0,2
,90.0,,0.0,1
,0.0,,0.0,1
840.0,0.0,,0.0,2
,,,,0
,,,,0
360.0,0.0,,7.0,10
,,,,1
,600.0,,0.0,1
200.0,1500.0,,0.0,3
1800.0,1500.0,,0.0,2
,,,,1
,,,,0
1000.0,,37.0,0.0,2
,,,,1
,,,,0
1200.0,,,2.0,4
,,,,0
1400.0,1200.0,,0.0,3
1200.0,180.0,,2.0,4
,100.0,,1.0,3
,2500.0,,0.0,3
,,,,1
,,,,0
240.0,4.0,,0.0,4
,,,,1
,2000.0,,2.0,4
,1500.0,,1.0,5
360.0,0.0,,4.0,7
,,,,0
,,32.0,4.0,6
960.0,0.0,,0.0,3
,,19.0,3.0,5
,,,,1
,,36.0,0.0,1
400.0,,5.0,1.0,3
,2200.0,,0.0,2
,,,,0
460.0,,60.0,0.0,1
,0.0,,0.0,1
1100.0,,21.0,2.0,4
,,,,0
,,,,0
,,,,0
,,,,0
,,,,1
120.0,1000.0,,3.0,5
,,,0.0,1
500.0,2000.0,,3.0,5
,,,,0
,,7.0,0.0,1
,,,,0
,,39.0,0.0,2
,,,,1
,,,,0
,0.0,,0.0,1
,,7.0,0.0,1
,700.0,,0.0,2
,,,,0
,,,,1
1300.0,,18.0,3.0,5
1400.0,,26.0,0.0,1
,1400.0,,4.0,6
,,,,0
830.0,,,1.0,4
,,,,0
,,35.0,2.0,3
,,,,0
,,,,1
,,72.0,0.0,1
,,,,0
,490.0,,0.0,2
,,,,1
1200.0,1200.0,,0.0,2
,,,,1
,,,,0
,,50.0,0.0,1
,,24.0,2.0,4
,,,,0
,,,,1
,,,,0
