AgeInYears,TravelTimeToWorkInMinutes,NumberOfPeopleInCarpool,HoursWorkedWeeklyInPastYear,TotalIncomeInDollars
14,,,,
29,,,,1600.0
60,15.0,,21.0,10800.0
5,,,,
67,,,,24700.0
11,,,,
26,1.0,10.0,40.0,3000.0
69,45.0,1.0,40.0,31000.0
55,,,,1600.0
8,,,,
68,,,,52000.0
52,5.0,,40.0,119910.0
39,45.0,1.0,40.0,122000.0
67,,,,10200.0
25,,,50.0,4800.0
39,5.0,,40.0,47600.0
53,10.0,1.0,45.0,345000.0
92,,,,68900.0
44,1.0,,20.0,41700.0
44,10.0,1.0,40.0,32000.0
6,,,,
6,,,,
14,,,,
53,13.0,1.0,65.0,74000.0
26,50.0,1.0,40.0,63000.0
92,,,,8500.0
3,,,,
50,10.0,1.0,40.0,66510.0
41,,,80.0,31200.0
64,,,,73100.0
26,,,50.0,21600.0
55,25.0,1.0,47.0,109500.0
2,,,,
38,20.0,,90.0,70000.0
31,6.0,,32.0,9600.0
0,,,,
26,,,,1600.0
29,,,40.0,40000.0
40,,,20.0,9200.0
5,,,,
16,,,,0.0
31,20.0,1.0,32.0,81000.0
47,5.0,,84.0,60010.0
63,,,,2300.0
19,,,,2700.0
77,,,,155000.0
49,,,21.0,40300.0
16,,,,0.0
14,,,,
19,,,,0.0
31,,,50.0,58000.0
47,15.0,1.0,45.0,120000.0
47,15.0,1.0,45.0,109000.0
34,20.0,1.0,40.0,33000.0
23,5.0,,84.0,20000.0
1,,,,
92,,,,11200.0
18,,,20.0,1690.0
49,2.0,,81.0,69100.0
67,3.0,,8.0,4600.0
36,15.0,1.0,25.0,11700.0
69,,,,11200.0
55,,,,0.0
17,,,10.0,2490.0
20,,,,1600.0
52,15.0,1.0,35.0,80000.0
13,,,,
56,,,48.0,6660.0
28,15.0,1.0,37.0,39600.0
32,,,38.0,32200.0
24,15.0,,84.0,80000.0
15,,,,0.0
63,,,,194000.0
11,,,,
14,,,,
55,5.0,1.0,60.0,30300.0
2,,,,
68,,,,12860.0
43,5.0,1.0,40.0,40100.0
30,5.0,,84.0,67000.0
7,,,,
25,45.0,2.0,40.0,21600.0
39,20.0,1.0,40.0,42000.0
0,,,,
33,7.0,1.0,50.0,87900.0
26,45.0,1.0,40.0,16200.0
21,5.0,1.0,60.0,35000.0
4,,,,
21,15.0,1.0,35.0,4900.0
41,35.0,,50.0,79500.0
69,,,16.0,82920.0
39,5.0,,40.0,57170.0
21,20.0,1.0,40.0,28000.0
63,2.0,,50.0,152000.0
19,5.0,1.0,40.0,28500.0
47,10.0,1.0,40.0,33000.0
11,,,,
61,,,,1600.0
17,,,20.0,3240.0
8,,,,
30,5.0,1.0,50.0,66200.0
15,,,,0.0
92,,,,55800.0
34,,,84.0,85600.0
47,20.0,,45.0,48000.0
15,,,,1600.0
64,,,,12000.0
28,,,,300.0
48,15.0,1.0,55.0,142000.0
12,,,,
35,5.0,,40.0,27500.0
77,,,,18900.0
9,,,,
42,,,,27300.0
7,,,,
74,,,,10500.0
2,,,,
56,,,40.0,13600.0
10,,,,
32,3.0,1.0,50.0,21600.0
30,,,,1600.0
42,20.0,1.0,40.0,29000.0
53,25.0,1.0,32.0,40100.0
59,,,,0.0
60,10.0,1.0,30.0,22600.0
59,90.0,1.0,60.0,-2000.0
61,10.0,1.0,40.0,241000.0
20,10.0,1.0,40.0,54310.0
38,12.0,3.0,40.0,40000.0
61,,,,22900.0
47,5.0,1.0,25.0,48000.0
33,200.0,1.0,45.0,127200.0
57,,,,44500.0
5,,,,
9,,,,
23,10.0,1.0,25.0,12000.0
53,12.0,1.0,64.0,37600.0
69,,,,75600.0
85,,,,30600.0
73,,,,47900.0
28,2.0,,30.0,13600.0
71,,,,30000.0
15,,,,0.0
12,,,,
37,,,40.0,46100.0
21,,,,1200.0
59,,,30.0,72100.0
65,3.0,1.0,52.0,141600.0
17,,,30.0,9500.0
17,,,,1100.0
22,3.0,1.0,20.0,15600.0
25,,,,5700.0
10,,,,
4,,,,
64,,,,10000.0
76,,,,17000.0
35,21.0,,40.0,12600.0
33,,,,0.0
54,,,60.0,79600.0
26,10.0,1.0,50.0,30000.0
70,,,,18000.0
53,,,,9350.0
61,10.0,1.0,40.0,54000.0
31,,,40.0,2200.0
9,,,,
41,,,25.0,14900.0
31,,,,0.0
13,,,,
34,15.0,1.0,40.0,85000.0
43,25.0,,55.0,70000.0
46,5.0,4.0,38.0,61700.0
68,5.0,1.0,40.0,49600.0
0,,,,
24,5.0,,45.0,23400.0
52,,,,10000.0
49,2.0,,40.0,105000.0
11,,,,
45,45.0,3.0,40.0,75000.0
51,15.0,2.0,40.0,38200.0
0,,,,
26,60.0,,20.0,34600.0
17,,,,5000.0
56,,,,26600.0
92,,,,55800.0
39,,,,2700.0
12,,,,
61,,,20.0,95400.0
66,5.0,1.0,40.0,61600.0
71,5.0,,40.0,36000.0
37,10.0,1.0,60.0,111600.0
22,,,,2430.0
61,,,10.0,38600.0
8,,,,
72,,,,33300.0
8,,,,
68,,,,55000.0
33,10.0,1.0,40.0,21900.0
9,,,,
62,,,40.0,4300.0
28,5.0,,84.0,53000.0
71,,,,24800.0
54,15.0,1.0,40.0,80600.0
51,15.0,1.0,38.0,80000.0
66,,,10.0,32700.0
72,,,,4300.0
22,,,,0.0
32,20.0,1.0,40.0,56600.0
3,,,,
29,25.0,1.0,70.0,5500.0
61,30.0,1.0,50.0,100000.0
50,20.0,1.0,40.0,120000.0
17,5.0,,12.0,6600.0
53,10.0,1.0,37.0,75000.0
40,,,,13400.0
50,,,20.0,19800.0
32,25.0,1.0,50.0,5000.0
64,,,90.0,52600.0
65,20.0,1.0,40.0,61500.0
30,,,,3200.0
33,10.0,1.0,40.0,73500.0
48,,,40.0,55000.0
8,,,,
20,5.0,1.0,40.0,15000.0
6,,,,
8,,,,
37,,,24.0,5920.0
70,,,,0.0
35,5.0,3.0,40.0,35230.0
86,,,,21300.0
28,5.0,,84.0,53000.0
33,2.0,,40.0,18280.0
71,,,,10900.0
8,,,,
52,20.0,1.0,60.0,112000.0
35,12.0,1.0,40.0,31600.0
37,4.0,2.0,60.0,86600.0
51,5.0,1.0,35.0,26000.0
26,60.0,1.0,40.0,81000.0
67,,,,63700.0
23,15.0,1.0,40.0,30000.0
10,,,,
3,,,,
13,,,,
21,15.0,1.0,35.0,4900.0
71,,,,11200.0
67,,,,50100.0
43,,,37.0,73600.0
30,,,,3600.0
32,,,40.0,40800.0
8,,,,
35,,,,1600.0
15,,,,1600.0
69,,,,46800.0
60,2.0,3.0,38.0,73000.0
22,1.0,1.0,16.0,1500.0
26,10.0,1.0,40.0,20000.0
34,15.0,1.0,40.0,65000.0
15,,,,0.0
18,,,,1600.0
55,,,84.0,14800.0
60,25.0,1.0,40.0,47700.0
18,,,35.0,8000.0
6,,,,
10,,,,
12,,,,
10,,,,
56,10.0,1.0,40.0,50000.0
56,,,40.0,75200.0
55,25.0,1.0,40.0,35200.0
54,15.0,1.0,70.0,53600.0
12,,,,
51,20.0,1.0,40.0,66600.0
30,,,,1600.0
29,15.0,1.0,40.0,45800.0
52,45.0,1.0,80.0,50000.0
3,,,,
7,,,,
58,4.0,,35.0,35900.0
64,,,,15100.0
1,,,,
31,5.0,1.0,25.0,15000.0
53,5.0,2.0,40.0,94600.0
34,2.0,1.0,40.0,51600.0
15,,,,1600.0
56,,,,3100.0
25,,,40.0,5600.0
35,20.0,3.0,25.0,16800.0
3,,,,
31,5.0,,38.0,49400.0
79,,,,12000.0
23,50.0,1.0,40.0,29000.0
62,15.0,1.0,40.0,60000.0
14,,,,
56,5.0,,68.0,6760.0
55,5.0,,40.0,32500.0
38,19.0,1.0,40.0,32000.0
8,,,,
47,15.0,1.0,50.0,93600.0
9,,,,
56,,,,0.0
12,,,,
39,20.0,1.0,40.0,105000.0
17,,,6.0,3300.0
52,,,,0.0
56,6.0,1.0,25.0,58300.0
53,2.0,,40.0,68000.0
57,10.0,1.0,40.0,122100.0
51,,,50.0,76600.0
0,,,,
8,,,,
32,40.0,1.0,40.0,44600.0
50,,,,1000.0
19,,,,1600.0
51,,,40.0,20000.0
1,,,,
74,,,,15000.0
43,,,,0.0
21,1.0,,50.0,10000.0
30,,,40.0,42200.0
65,,,,2600.0
2,,,,
1,,,,
47,,,,0.0
51,5.0,,84.0,111100.0
7,,,,
25,,,,1600.0
76,,,,17100.0
22,20.0,1.0,60.0,15600.0
31,5.0,1.0,50.0,41000.0
62,5.0,,40.0,150160.0
29,5.0,1.0,40.0,40000.0
17,,,,1900.0
36,5.0,2.0,40.0,88600.0
28,,,,0.0
42,3.0,2.0,30.0,25400.0
41,20.0,1.0,40.0,51600.0
62,,,,3300.0
23,15.0,1.0,35.0,19000.0
22,200.0,,40.0,26080.0
21,15.0,1.0,35.0,4900.0
7,,,,
62,15.0,1.0,50.0,68500.0
47,6.0,1.0,40.0,98000.0
46,10.0,1.0,40.0,102000.0
45,,,,1600.0
42,10.0,1.0,70.0,32400.0
20,10.0,2.0,40.0,23000.0
