WaterCostInDollars,FireHazardFloodInsuranceYearlyCostInDollars,GrossRentAsPercentOfIncome,NumberOfChildrenInHousehold,NumberOfPeopleInHousehold
3400.0,,54.0,0.0,1
,500.0,,0.0,2
360.0,2200.0,,0.0,2
480.0,,91.0,0.0,1
,,101.0,0.0,2
,,,,1
300.0,,35.0,0.0,2
600.0,1500.0,,0.0,2
,,,,1
700.0,2000.0,,2.0,4
190.0,930.0,,0.0,2
100.0,,17.0,3.0,4
500.0,1300.0,,0.0,3
,0.0,,0.0,2
3400.0,2000.0,,0.0,2
,,,,1
1100.0,680.0,,1.0,6
50.0,790.0,,1.0,3
80.0,,39.0,1.0,3
360.0,1200.0,,0.0,2
310.0,990.0,,0.0,2
1100.0,3500.0,,0.0,2
90.0,,11.0,2.0,4
30.0,1200.0,,0.0,1
300.0,900.0,,0.0,2
60.0,2400.0,,0.0,3
310.0,,22.0,0.0,1
30.0,50.0,,0.0,2
,1200.0,,0.0,2
,,,,0
60.0,,78.0,1.0,3
550.0,0.0,,0.0,2
700.0,,,0.0,3
600.0,0.0,,0.0,1
1000.0,5900.0,,2.0,4
,,,,1
,,46.0,0.0,1
,2900.0,,2.0,4
500.0,1400.0,,0.0,2
50.0,,21.0,0.0,2
650.0,1600.0,,0.0,3
,,,,1
360.0,950.0,,1.0,4
840.0,0.0,,0.0,3
1200.0,1200.0,,0.0,2
600.0,,,0.0,3
500.0,1300.0,,2.0,4
800.0,0.0,,0.0,2
,1200.0,,0.0,1
300.0,,,0.0,1
,,,,0
190.0,2100.0,,0.0,2
540.0,,26.0,0.0,1
280.0,780.0,,0.0,2
200.0,,10.0,0.0,3
370.0,0.0,,0.0,1
30.0,1200.0,,1.0,3
500.0,1200.0,,0.0,3
,,,,1
40.0,0.0,,0.0,2
,,,,0
50.0,890.0,,0.0,4
80.0,1400.0,,1.0,4
400.0,1200.0,,1.0,3
,,28.0,0.0,1
1100.0,470.0,,0.0,2
3400.0,50.0,,0.0,2
,,,,0
760.0,0.0,,0.0,1
,,,,1
,,38.0,0.0,2
900.0,1100.0,,0.0,2
20.0,1500.0,,0.0,2
20.0,280.0,,0.0,1
1300.0,0.0,,0.0,2
,,,,1
50.0,300.0,,2.0,4
30.0,0.0,,0.0,1
,,101.0,0.0,1
1000.0,1300.0,,0.0,1
960.0,0.0,,3.0,5
360.0,,,3.0,4
400.0,900.0,,0.0,2
1100.0,2700.0,,0.0,3
460.0,1900.0,,0.0,2
,,,,0
430.0,,34.0,0.0,1
480.0,80.0,,0.0,2
60.0,0.0,,0.0,1
,,,,1
,,,,1
480.0,2200.0,,0.0,2
620.0,,,0.0,2
20.0,1300.0,,0.0,1
50.0,1100.0,,0.0,1
,,,,0
890.0,,31.0,0.0,2
420.0,1600.0,,0.0,1
,,,,0
,,,,1
510.0,0.0,,0.0,3
,,,,1
360.0,1000.0,,0.0,2
130.0,,20.0,0.0,2
40.0,1300.0,,0.0,1
,,20.0,2.0,4
670.0,0.0,,3.0,5
,,,,0
