AgeInYears,TravelTimeToWorkInMinutes,NumberOfPeopleInCarpool,HoursWorkedWeeklyInPastYear,TotalIncomeInDollars
83,15.0,1.0,40.0,44300.0
20,30.0,1.0,1.0,1300.0
4,,,,
41,5.0,3.0,20.0,12400.0
65,,,,41900.0
4,,,,
30,,,,0.0
51,,,,9300.0
18,12.0,1.0,40.0,15000.0
5,,,,
89,,,,22100.0
28,35.0,1.0,40.0,14400.0
19,,,35.0,3900.0
1,,,,
24,,,,14000.0
50,,,,14000.0
72,,,,250000.0
69,,,,38350.0
49,60.0,1.0,40.0,27000.0
34,10.0,1.0,40.0,46200.0
39,,,,9000.0
16,,,,0.0
35,15.0,1.0,40.0,50260.0
59,30.0,1.0,40.0,137400.0
59,,,26.0,42000.0
14,,,,
84,,,,4100.0
46,25.0,1.0,40.0,44000.0
39,20.0,1.0,45.0,79000.0
79,,,,9000.0
10,,,,
38,60.0,1.0,50.0,65000.0
74,,,,31100.0
31,25.0,1.0,40.0,55000.0
58,18.0,1.0,48.0,42200.0
28,16.0,1.0,40.0,25000.0
39,45.0,1.0,48.0,52000.0
30,10.0,1.0,32.0,12000.0
70,45.0,1.0,24.0,56800.0
77,,,,44500.0
14,,,,
13,,,,
45,55.0,1.0,45.0,125000.0
56,10.0,1.0,36.0,252000.0
37,,,,67100.0
16,10.0,1.0,30.0,15000.0
7,,,,
33,12.0,1.0,40.0,36000.0
8,,,,
25,4.0,,70.0,30000.0
45,35.0,2.0,40.0,60000.0
35,,,,0.0
36,,,,15900.0
71,,,,39700.0
68,,,,7600.0
46,15.0,1.0,55.0,44000.0
83,,,,26000.0
76,,,,72200.0
71,3.0,1.0,4.0,52100.0
49,84.0,1.0,60.0,105000.0
33,5.0,1.0,40.0,42000.0
68,15.0,1.0,30.0,40900.0
61,,,40.0,88900.0
36,10.0,1.0,55.0,368000.0
12,,,,
66,,,,24500.0
13,,,,
52,115.0,1.0,8.0,11000.0
2,,,,
23,,,17.0,2000.0
4,,,,
51,,,20.0,5000.0
63,,,,21100.0
55,20.0,1.0,40.0,60000.0
68,,,,33500.0
80,,,,12100.0
81,,,,37200.0
37,,,,0.0
5,,,,
72,,,,20000.0
27,10.0,1.0,40.0,38000.0
62,,,,6000.0
80,,,,15400.0
52,20.0,1.0,40.0,100000.0
42,20.0,1.0,40.0,71000.0
60,25.0,1.0,46.0,28000.0
62,,,,39900.0
66,35.0,1.0,40.0,33100.0
28,45.0,1.0,40.0,85000.0
20,,,,0.0
4,,,,
62,15.0,1.0,40.0,34300.0
66,,,16.0,15500.0
0,,,,
6,,,,
40,20.0,1.0,40.0,55000.0
78,,,,18090.0
62,,,8.0,8070.0
77,,,,25000.0
74,,,,24000.0
13,,,,
82,,,,17300.0
22,20.0,1.0,44.0,12000.0
55,45.0,1.0,40.0,125000.0
73,,,,18000.0
57,7.0,1.0,18.0,14000.0
63,45.0,1.0,40.0,78000.0
49,30.0,1.0,40.0,22000.0
68,,,,7000.0
35,20.0,1.0,40.0,20400.0
73,,,,13800.0
31,10.0,1.0,55.0,63000.0
71,,,,16600.0
1,,,,
68,,,,0.0
17,,,,0.0
70,,,,3500.0
59,,,,22100.0
12,,,,
58,40.0,1.0,40.0,51000.0
30,,,,0.0
23,20.0,1.0,40.0,4500.0
58,,,,0.0
52,,,,7400.0
93,,,,83600.0
69,,,40.0,284200.0
33,15.0,2.0,60.0,35000.0
62,20.0,1.0,50.0,197000.0
46,154.0,1.0,55.0,150000.0
2,,,,
18,15.0,1.0,20.0,80.0
43,75.0,1.0,40.0,64000.0
19,,,,0.0
54,5.0,1.0,40.0,29000.0
72,15.0,1.0,40.0,321600.0
78,,,,7300.0
29,20.0,1.0,45.0,24000.0
21,,,40.0,15000.0
74,,,,14000.0
23,15.0,1.0,48.0,20000.0
53,,,,22300.0
53,,,,9000.0
12,,,,
65,,,,10500.0
39,20.0,1.0,40.0,45000.0
39,90.0,2.0,40.0,14400.0
76,,,,89000.0
34,60.0,1.0,50.0,80000.0
80,,,,5940.0
53,15.0,1.0,20.0,11500.0
58,,,,12000.0
19,10.0,,20.0,10000.0
14,,,,
16,,,,0.0
57,,,58.0,16200.0
1,,,,
38,8.0,1.0,35.0,3200.0
48,15.0,1.0,45.0,95120.0
29,7.0,1.0,36.0,38000.0
36,,,,0.0
18,,,,0.0
39,19.0,1.0,40.0,50000.0
80,,,,54500.0
43,154.0,1.0,40.0,45000.0
35,10.0,1.0,40.0,46800.0
66,13.0,1.0,40.0,64320.0
79,,,,47000.0
10,,,,
56,10.0,1.0,30.0,61500.0
11,,,,
93,,,,16800.0
7,,,,
65,15.0,1.0,40.0,158700.0
43,25.0,1.0,60.0,45000.0
60,3.0,1.0,40.0,36000.0
3,,,,
40,,,,0.0
70,,,,14900.0
58,,,29.0,28000.0
66,,,,14900.0
44,,,,9300.0
67,30.0,1.0,40.0,59000.0
25,,,,760.0
35,,,,55700.0
59,30.0,1.0,60.0,50000.0
53,,,75.0,75000.0
39,20.0,1.0,40.0,30000.0
9,,,,
46,15.0,1.0,40.0,150000.0
41,20.0,1.0,45.0,40000.0
32,25.0,1.0,35.0,7000.0
39,10.0,1.0,40.0,19900.0
21,,,40.0,25000.0
14,,,,
16,,,,0.0
13,,,,
61,20.0,1.0,40.0,36200.0
85,,,,41700.0
61,,,,60000.0
49,15.0,1.0,40.0,27900.0
75,,,,36500.0
7,,,,
20,,,,0.0
82,,,,9100.0
55,,,,14000.0
62,,,,13400.0
29,30.0,1.0,40.0,29000.0
11,,,,
49,20.0,2.0,55.0,38000.0
75,,,,13600.0
43,25.0,1.0,39.0,43000.0
78,,,,6000.0
40,,,,3720.0
15,,,,0.0
46,30.0,1.0,45.0,120000.0
12,,,,
42,30.0,1.0,40.0,98000.0
