WaterCostInDollars,FireHazardFloodInsuranceYearlyCostInDollars,GrossRentAsPercentOfIncome,NumberOfChildrenInHousehold,NumberOfPeopleInHousehold
1300.0,1000.0,,0.0,2
,1800.0,,2.0,5
,,19.0,0.0,2
1200.0,1200.0,,2.0,4
,,15.0,2.0,4
250.0,1200.0,,0.0,1
100.0,,34.0,0.0,1
610.0,2900.0,,1.0,3
3000.0,700.0,,0.0,3
600.0,2000.0,,1.0,3
1500.0,800.0,,0.0,2
,,,,1
,,34.0,0.0,4
2400.0,1000.0,,0.0,6
1200.0,1000.0,,0.0,3
,,,,1
1900.0,,34.0,1.0,4
160.0,1700.0,,1.0,4
50.0,6000.0,,0.0,2
,,,,0
,,,,1
200.0,400.0,,0.0,3
,,49.0,0.0,1
1100.0,1800.0,,0.0,1
,,,,1
,600.0,,0.0,3
1800.0,2000.0,,0.0,1
360.0,1800.0,,0.0,2
1400.0,1800.0,,0.0,2
,,,,1
1700.0,400.0,,0.0,1
1800.0,1000.0,,3.0,8
600.0,1700.0,,0.0,2
100.0,830.0,,0.0,1
,,,,1
,,35.0,0.0,7
,400.0,,0.0,1
600.0,,30.0,2.0,4
,,9.0,0.0,2
310.0,1700.0,,0.0,2
2600.0,8800.0,,0.0,3
150.0,750.0,,2.0,4
100.0,0.0,,0.0,1
50.0,350.0,,0.0,2
,,51.0,2.0,4
,,,,1
1600.0,3100.0,,0.0,2
600.0,,,2.0,4
2400.0,1000.0,,2.0,5
530.0,540.0,,0.0,2
500.0,1400.0,,0.0,1
1100.0,1800.0,,0.0,2
500.0,800.0,,0.0,3
1600.0,3500.0,,0.0,2
,,,,1
,,19.0,0.0,2
100.0,2000.0,,0.0,1
,,7.0,0.0,2
1800.0,700.0,,0.0,3
3000.0,1500.0,,0.0,2
2200.0,1700.0,,4.0,6
1200.0,900.0,,0.0,2
100.0,100.0,,0.0,1
720.0,2000.0,,0.0,4
,,,,0
,,48.0,0.0,2
1500.0,1300.0,,0.0,4
1800.0,400.0,,0.0,5
1800.0,3100.0,,0.0,2
,0.0,,0.0,1
,,22.0,0.0,2
1200.0,2800.0,,2.0,4
480.0,,46.0,1.0,3
1500.0,300.0,,0.0,5
,,,,1
2200.0,660.0,,0.0,3
1100.0,2400.0,,0.0,2
230.0,2000.0,,3.0,5
50.0,500.0,,0.0,2
360.0,1200.0,,0.0,2
2400.0,2000.0,,0.0,2
960.0,,101.0,0.0,1
,,,,0
100.0,200.0,,2.0,4
,250.0,,0.0,2
840.0,460.0,,0.0,6
,240.0,,0.0,4
,,57.0,0.0,2
900.0,800.0,,0.0,2
320.0,900.0,,0.0,5
,,24.0,2.0,4
600.0,,20.0,0.0,2
600.0,,26.0,0.0,3
,,,1.0,3
,,,,1
1500.0,1600.0,,0.0,3
,,,,1
,2500.0,,0.0,1
750.0,,17.0,0.0,3
450.0,1000.0,,0.0,3
,,,,1
1300.0,3500.0,,0.0,2
,,28.0,0.0,1
1500.0,500.0,,2.0,3
,,,,1
240.0,200.0,,0.0,1
,0.0,,0.0,2
,,,,1
,,,,0
450.0,2700.0,,1.0,4
,,29.0,0.0,2
,0.0,,0.0,2
,390.0,,1.0,2
500.0,0.0,,2.0,7
,,101.0,0.0,2
,,,,0
110.0,470.0,,0.0,1
,,,,1
120.0,1100.0,,2.0,4
,,33.0,0.0,1
250.0,,,0.0,1
,,28.0,0.0,1
2200.0,300.0,,0.0,3
900.0,30.0,,0.0,3
1300.0,2000.0,,0.0,2
200.0,2400.0,,0.0,2
