AgeInYears,TravelTimeToWorkInMinutes,NumberOfPeopleInCarpool,HoursWorkedWeeklyInPastYear,TotalIncomeInDollars
41,5.0,1.0,40.0,40000.0
92,,,,0.0
15,,,,0.0
75,15.0,,40.0,82400.0
7,,,,
6,,,,
41,,,40.0,6000.0
17,,,15.0,1000.0
53,30.0,1.0,36.0,20000.0
69,,,,36600.0
51,,,,9300.0
39,35.0,1.0,40.0,60000.0
6,,,,
28,20.0,2.0,40.0,36000.0
15,,,,0.0
44,60.0,1.0,35.0,30000.0
55,19.0,1.0,45.0,60000.0
95,,,,43000.0
48,20.0,1.0,50.0,75000.0
54,38.0,1.0,40.0,115000.0
46,10.0,1.0,40.0,82000.0
3,,,,
25,20.0,1.0,50.0,32000.0
8,,,,
25,,,,3600.0
28,,,40.0,14900.0
38,60.0,1.0,65.0,130000.0
24,5.0,1.0,40.0,27000.0
63,18.0,1.0,15.0,110000.0
29,45.0,4.0,45.0,35000.0
95,,,,37000.0
65,,,,20000.0
61,60.0,1.0,32.0,26000.0
58,10.0,1.0,37.0,65000.0
61,5.0,1.0,40.0,15000.0
44,,,20.0,57000.0
63,15.0,2.0,48.0,100000.0
63,10.0,1.0,40.0,150000.0
9,,,,
66,25.0,1.0,40.0,36000.0
13,,,,
60,,,24.0,14000.0
49,,,50.0,50000.0
34,15.0,1.0,20.0,20000.0
63,30.0,1.0,60.0,63000.0
90,,,,17900.0
2,,,,
62,30.0,1.0,40.0,30000.0
76,,,1.0,85500.0
45,,,,0.0
72,,,,29900.0
18,,,40.0,8000.0
95,,,,12900.0
16,45.0,2.0,12.0,2400.0
69,,,,66000.0
28,,,40.0,14900.0
3,,,,
22,5.0,,60.0,18600.0
38,10.0,1.0,40.0,24100.0
49,,,,0.0
67,,,,10400.0
52,75.0,,40.0,49000.0
31,,,,0.0
65,,,,10880.0
17,20.0,2.0,8.0,1700.0
50,,,,0.0
58,40.0,1.0,70.0,22000.0
53,90.0,,50.0,5700.0
47,30.0,1.0,40.0,34000.0
53,40.0,1.0,40.0,125000.0
37,30.0,,40.0,91200.0
68,45.0,1.0,40.0,63000.0
86,,,,1400.0
65,,,,0.0
57,,,,0.0
42,,,50.0,78000.0
67,20.0,1.0,40.0,90900.0
1,,,,
40,45.0,1.0,50.0,60000.0
13,,,,
37,15.0,1.0,48.0,63600.0
5,,,,
62,,,,0.0
56,,,11.0,330.0
29,60.0,2.0,40.0,26260.0
92,,,,16700.0
72,10.0,1.0,16.0,45900.0
62,,,,10180.0
3,,,,
65,,,,0.0
20,,,,0.0
70,,,20.0,66000.0
67,,,,9100.0
80,,,,67900.0
39,,,,10400.0
60,15.0,1.0,25.0,36000.0
60,60.0,,40.0,25000.0
87,,,,26850.0
65,45.0,2.0,40.0,39000.0
5,,,,
17,,,,0.0
24,2.0,1.0,40.0,20000.0
5,,,,
9,,,,
75,20.0,1.0,8.0,77100.0
25,45.0,1.0,40.0,37000.0
61,15.0,1.0,50.0,60010.0
54,,,,0.0
64,,,,11000.0
23,60.0,,20.0,18000.0
35,20.0,1.0,50.0,90000.0
67,10.0,1.0,40.0,40100.0
66,10.0,1.0,40.0,71000.0
49,30.0,2.0,40.0,35000.0
30,30.0,2.0,45.0,45000.0
7,,,,
56,,,,12000.0
61,,,,800.0
19,20.0,1.0,35.0,15000.0
31,20.0,1.0,99.0,67000.0
67,,,,65300.0
33,15.0,1.0,40.0,45000.0
27,90.0,2.0,40.0,26000.0
75,,,,6000.0
89,,,,26500.0
86,,,,22000.0
22,60.0,1.0,45.0,33780.0
66,,,,19200.0
56,90.0,1.0,40.0,16700.0
57,15.0,1.0,40.0,33000.0
22,15.0,,12.0,5000.0
22,35.0,1.0,40.0,70000.0
36,35.0,1.0,40.0,25000.0
58,10.0,2.0,40.0,54000.0
43,30.0,1.0,99.0,150000.0
56,,,,4000.0
37,20.0,1.0,45.0,101300.0
2,,,,
5,,,,
62,,,,17500.0
33,15.0,,40.0,42120.0
59,15.0,1.0,40.0,65000.0
74,,,,29400.0
60,,,,35000.0
58,,,,0.0
33,,,,8000.0
55,15.0,1.0,40.0,65000.0
61,5.0,1.0,40.0,41000.0
21,,,72.0,13000.0
13,,,,
34,30.0,1.0,40.0,60100.0
12,,,,
54,20.0,2.0,35.0,16000.0
9,,,,
71,,,40.0,75100.0
72,,,,64900.0
38,10.0,1.0,45.0,153000.0
6,,,,
61,45.0,2.0,40.0,50000.0
