WaterCostInDollars,FireHazardFloodInsuranceYearlyCostInDollars,GrossRentAsPercentOfIncome,NumberOfChildrenInHousehold,NumberOfPeopleInHousehold
30.0,1800.0,,0.0,2
900.0,1200.0,,0.0,2
,1000.0,,5.0,7
1200.0,,52.0,2.0,4
40.0,700.0,,0.0,1
840.0,110.0,,3.0,5
,,,0.0,2
,,23.0,0.0,2
,,,,0
1500.0,1200.0,,2.0,4
1100.0,810.0,,0.0,2
,,,,1
140.0,200.0,,3.0,5
940.0,1200.0,,3.0,4
350.0,1100.0,,0.0,2
,,,,1
700.0,700.0,,0.0,2
140.0,700.0,,0.0,2
960.0,960.0,,2.0,4
150.0,0.0,,2.0,4
510.0,1100.0,,0.0,1
1000.0,1000.0,,2.0,4
420.0,1200.0,,0.0,2
570.0,1000.0,,0.0,2
720.0,1300.0,,2.0,4
720.0,1000.0,,0.0,2
500.0,,49.0,0.0,1
720.0,610.0,,0.0,1
,,,,0
,,,,1
1000.0,1200.0,,1.0,3
300.0,1200.0,,2.0,4
1300.0,540.0,,0.0,4
50.0,600.0,,0.0,1
,,,,1
,300.0,,0.0,1
,,,,1
,0.0,,0.0,1
90.0,800.0,,0.0,3
760.0,780.0,,0.0,1
360.0,700.0,,0.0,3
600.0,1300.0,,0.0,3
600.0,,65.0,0.0,2
720.0,900.0,,0.0,3
,0.0,,1.0,3
,,101.0,2.0,3
1500.0,100.0,,2.0,4
,2000.0,,1.0,3
1600.0,1000.0,,0.0,2
,0.0,,0.0,1
,,27.0,0.0,1
,,49.0,0.0,1
250.0,,,0.0,2
600.0,,49.0,0.0,1
20.0,600.0,,0.0,1
50.0,80.0,,0.0,2
420.0,0.0,,0.0,2
560.0,1600.0,,0.0,1
,,46.0,0.0,1
,1200.0,,0.0,2
1300.0,1300.0,,0.0,1
200.0,0.0,,0.0,1
800.0,0.0,,0.0,3
1300.0,1000.0,,4.0,6
780.0,,101.0,0.0,2
910.0,960.0,,0.0,2
,,75.0,0.0,1
,,,,1
900.0,1300.0,,1.0,3
90.0,750.0,,0.0,1
960.0,2400.0,,0.0,2
,,,,1
30.0,,59.0,0.0,1
,,,,1
,,,,0
600.0,950.0,,0.0,3
1100.0,550.0,,1.0,3
410.0,1300.0,,0.0,5
720.0,1100.0,,1.0,3
,,21.0,0.0,1
,,,,1
