WaterCostInDollars,FireHazardFloodInsuranceYearlyCostInDollars,GrossRentAsPercentOfIncome,NumberOfChildrenInHousehold,NumberOfPeopleInHousehold
500.0,1000.0,,0.0,1
400.0,1100.0,,1.0,3
,,17.0,0.0,1
400.0,640.0,,0.0,1
,750.0,,0.0,2
250.0,500.0,,0.0,1
800.0,0.0,,0.0,1
,1300.0,,0.0,1
,1200.0,,0.0,2
,,,,1
200.0,970.0,,0.0,1
,420.0,,2.0,4
1000.0,1300.0,,0.0,3
,,,,1
320.0,0.0,,2.0,3
600.0,1200.0,,2.0,4
,1500.0,,0.0,1
680.0,180.0,,0.0,2
,,,,1
,1200.0,,2.0,4
400.0,1000.0,,0.0,2
,250.0,,0.0,1
500.0,,49.0,0.0,1
350.0,1300.0,,2.0,4
,840.0,,0.0,1
,,,,1
660.0,1200.0,,0.0,2
,,20.0,0.0,3
,,21.0,0.0,1
,,,,1
530.0,1100.0,,2.0,4
,,13.0,0.0,1
,870.0,,0.0,2
,,,,1
300.0,1600.0,,2.0,4
300.0,2400.0,,0.0,1
,,,,1
,670.0,,0.0,2
1100.0,1300.0,,0.0,1
800.0,880.0,,0.0,4
,2200.0,,0.0,2
460.0,2800.0,,0.0,1
550.0,1800.0,,2.0,4
,2000.0,,0.0,4
,,,,1
250.0,0.0,,0.0,1
,,,,1
1500.0,650.0,,3.0,5
,,25.0,0.0,2
120.0,250.0,,0.0,2
,100.0,,0.0,1
,,28.0,1.0,4
160.0,1600.0,,0.0,2
,,,,1
,3000.0,,0.0,2
50.0,,20.0,1.0,3
,,,,1
,450.0,,0.0,2
30.0,2300.0,,0.0,1
,,,,1
720.0,,6.0,1.0,3
,,44.0,0.0,2
,,48.0,0.0,2
,,15.0,0.0,2
80.0,1500.0,,0.0,1
,,15.0,0.0,2
360.0,600.0,,0.0,1
530.0,900.0,,0.0,2
740.0,1200.0,,0.0,2
,,,,1
,,22.0,0.0,2
,,,,0
,,,,0
600.0,900.0,,0.0,1
510.0,1500.0,,0.0,1
1300.0,900.0,,0.0,1
400.0,1400.0,,0.0,2
,,101.0,0.0,1
,,,0.0,1
380.0,1400.0,,2.0,4
100.0,300.0,,0.0,2
,,32.0,1.0,3
,,30.0,0.0,2
1000.0,2000.0,,0.0,2
,,28.0,2.0,4
2400.0,1400.0,,2.0,4
,,,,1
,2500.0,,0.0,2
,,,,1
1200.0,950.0,,0.0,3
1000.0,1200.0,,1.0,4
,,31.0,0.0,1
220.0,1000.0,,0.0,4
600.0,1700.0,,0.0,3
,,24.0,1.0,3
,,,,0
,,43.0,0.0,1
500.0,1600.0,,0.0,2
140.0,,22.0,0.0,1
300.0,1300.0,,1.0,3
,,22.0,0.0,5
,,,,0
40.0,1300.0,,0.0,3
600.0,1700.0,,1.0,3
400.0,800.0,,0.0,1
,7700.0,,0.0,2
,,96.0,0.0,4
,,,,1
,2000.0,,0.0,2
,,,,1
150.0,700.0,,2.0,5
,0.0,,0.0,1
950.0,1700.0,,2.0,4
,,25.0,0.0,2
,,,,1
,4.0,,1.0,2
20.0,250.0,,0.0,1
1500.0,,21.0,0.0,2
1600.0,1500.0,,0.0,2
700.0,1600.0,,0.0,2
1100.0,1100.0,,0.0,2
,,101.0,2.0,3
,,27.0,0.0,1
,,,,1
1800.0,1200.0,,0.0,2
,,16.0,0.0,1
,,17.0,0.0,2
,,90.0,2.0,3
,,,,1
1000.0,3500.0,,2.0,4
,900.0,,0.0,2
700.0,1600.0,,1.0,3
400.0,1900.0,,0.0,3
760.0,0.0,,0.0,2
,340.0,,0.0,1
,,43.0,0.0,1
,1200.0,,0.0,1
,,22.0,1.0,2
,,,,1
,,15.0,0.0,2
,,101.0,2.0,4
500.0,1200.0,,0.0,2
1500.0,0.0,,0.0,2
400.0,1500.0,,0.0,3
,1200.0,,0.0,2
,,18.0,0.0,1
,500.0,,0.0,1
,,41.0,0.0,1
130.0,5000.0,,0.0,2
,0.0,,1.0,4
,,28.0,0.0,1
500.0,2100.0,,1.0,4
,,4.0,0.0,2
600.0,2000.0,,2.0,4
,,,,0
500.0,2000.0,,1.0,3
,,,0.0,1
420.0,1200.0,,0.0,1
1000.0,700.0,,3.0,5
,,35.0,0.0,2
,,32.0,0.0,3
,,,,1
,,32.0,0.0,1
90.0,800.0,,0.0,2
1000.0,2200.0,,0.0,1
,2000.0,,5.0,9
1500.0,2100.0,,0.0,1
660.0,,18.0,0.0,2
400.0,1200.0,,0.0,1
400.0,1200.0,,1.0,4
,,,,0
800.0,2000.0,,0.0,2
,,18.0,1.0,3
,,,,1
440.0,1600.0,,0.0,5
,,,,1
,,,,0
,0.0,,0.0,2
120.0,0.0,,1.0,2
950.0,1300.0,,0.0,2
,,,0.0,1
,,54.0,0.0,3
,,,,1
,,64.0,2.0,4
1200.0,800.0,,2.0,4
1500.0,2500.0,,2.0,4
,,,,0
,,19.0,0.0,2
,,,,1
,,33.0,0.0,2
2000.0,700.0,,0.0,2
250.0,500.0,,0.0,2
,2000.0,,0.0,2
1200.0,1800.0,,0.0,3
,,,,1
,,,,1
,,37.0,0.0,1
2000.0,,61.0,2.0,3
,,,,1
,,34.0,1.0,3
,700.0,,0.0,2
,,22.0,0.0,2
,1200.0,,0.0,3
800.0,950.0,,0.0,3
,,,,1
3600.0,1300.0,,0.0,1
500.0,1200.0,,0.0,2
,,,,1
70.0,2000.0,,0.0,1
,,,,1
900.0,400.0,,0.0,3
,,,0.0,1
,,101.0,0.0,1
,,23.0,2.0,4
200.0,3500.0,,0.0,4
,,4.0,1.0,3
,1000.0,,3.0,5
,,22.0,0.0,2
900.0,1100.0,,0.0,1
,2000.0,,1.0,3
,,36.0,0.0,2
,,,,1
900.0,350.0,,0.0,2
,1000.0,,1.0,3
,,17.0,0.0,1
,,,,1
1600.0,1800.0,,2.0,4
,1500.0,,0.0,2
,,,,1
,,21.0,0.0,2
,,,,1
1000.0,0.0,,0.0,4
,,,,1
,,,,1
,500.0,,0.0,1
680.0,350.0,,0.0,1
,,,,1
1500.0,3000.0,,0.0,1
800.0,2500.0,,0.0,2
70.0,,17.0,0.0,3
70.0,1700.0,,0.0,2
,,19.0,0.0,2
3600.0,1100.0,,0.0,5
,560.0,,0.0,1
,,35.0,0.0,3
,,,,1
250.0,0.0,,0.0,2
1300.0,0.0,,1.0,3
,,32.0,0.0,1
500.0,400.0,,0.0,1
,,55.0,0.0,2
3600.0,1200.0,,2.0,6
500.0,1000.0,,0.0,2
1200.0,2200.0,,0.0,2
1500.0,0.0,,0.0,1
,,43.0,0.0,1
350.0,0.0,,0.0,1
,,27.0,1.0,2
,,101.0,0.0,1
500.0,1200.0,,1.0,3
,,,,0
420.0,2500.0,,0.0,1
720.0,4000.0,,2.0,5
240.0,1800.0,,0.0,5
,,,,1
80.0,400.0,,0.0,1
,420.0,,0.0,1
,1000.0,,0.0,1
,,,2.0,3
,,28.0,0.0,1
1600.0,1800.0,,1.0,4
300.0,1200.0,,0.0,2
,,,,1
700.0,1900.0,,0.0,2
,,,,1
,,,,1
,,16.0,1.0,3
30.0,1000.0,,1.0,2
,,,,1
1200.0,,101.0,0.0,1
1500.0,3900.0,,0.0,4
330.0,1500.0,,2.0,4
,,48.0,0.0,1
,,28.0,0.0,2
400.0,650.0,,1.0,3
,1200.0,,0.0,1
,,,,1
,,11.0,0.0,4
,2200.0,,0.0,2
540.0,1900.0,,0.0,4
,,25.0,0.0,1
570.0,1000.0,,0.0,3
,,38.0,0.0,1
,600.0,,0.0,4
1000.0,2000.0,,1.0,2
,,43.0,0.0,2
,2000.0,,0.0,3
,,,,1
220.0,820.0,,0.0,1
800.0,1500.0,,0.0,5
,,73.0,2.0,3
1200.0,1700.0,,0.0,2
1200.0,1000.0,,2.0,4
,,21.0,0.0,1
20.0,1500.0,,2.0,4
,,,,1
440.0,1000.0,,1.0,3
1600.0,900.0,,0.0,1
,1900.0,,1.0,3
,,30.0,0.0,2
,1500.0,,1.0,5
80.0,2200.0,,2.0,4
,,,,1
,,21.0,3.0,5
600.0,1200.0,,0.0,2
1300.0,,64.0,0.0,1
100.0,340.0,,2.0,4
,,,,1
290.0,0.0,,0.0,2
450.0,1500.0,,0.0,2
1300.0,900.0,,0.0,2
,,14.0,0.0,2
,,,,0
360.0,0.0,,3.0,5
,,,0.0,1
300.0,1200.0,,0.0,2
,,30.0,0.0,1
,,50.0,0.0,1
,,,,1
,,,,1
1000.0,500.0,,0.0,4
800.0,800.0,,2.0,4
,,,,1
,,,,1
,400.0,,0.0,2
600.0,2300.0,,0.0,2
480.0,2000.0,,0.0,3
330.0,800.0,,0.0,2
,,30.0,0.0,1
,,19.0,0.0,1
1100.0,850.0,,2.0,4
,,,,1
300.0,900.0,,0.0,2
,800.0,,2.0,4
,1600.0,,0.0,2
,,21.0,0.0,2
,,,,1
,1500.0,,0.0,2
,1800.0,,1.0,3
600.0,2000.0,,0.0,2
,,40.0,1.0,3
400.0,1400.0,,3.0,5
,,,,0
,,,,0
1000.0,1500.0,,2.0,4
2400.0,1100.0,,0.0,2
,,,,1
,,,0.0,1
,1200.0,,0.0,2
400.0,1900.0,,2.0,4
,,17.0,0.0,2
,,5.0,0.0,2
,,40.0,0.0,2
,,32.0,0.0,1
,,26.0,0.0,1
,,97.0,0.0,2
750.0,1100.0,,0.0,3
460.0,1500.0,,0.0,2
,,,,1
,,34.0,0.0,1
,500.0,,1.0,3
,,,,1
480.0,2300.0,,0.0,1
,,,,1
,,65.0,0.0,1
720.0,1800.0,,1.0,5
,,101.0,0.0,2
,,,,1
,,,,1
380.0,1600.0,,0.0,1
800.0,820.0,,0.0,3
300.0,2400.0,,0.0,2
,,71.0,0.0,1
,,,,1
300.0,1200.0,,0.0,2
470.0,7700.0,,0.0,1
,,21.0,1.0,3
,,,,1
1000.0,1200.0,,0.0,3
960.0,0.0,,0.0,2
,,10.0,0.0,2
30.0,2300.0,,3.0,6
,,30.0,0.0,1
400.0,,32.0,0.0,2
120.0,1600.0,,0.0,2
,,,,0
,,,,1
570.0,890.0,,3.0,5
,,,,1
120.0,800.0,,0.0,2
340.0,1200.0,,0.0,1
240.0,1000.0,,1.0,2
,700.0,,0.0,2
,,13.0,0.0,2
,,,,1
,0.0,,0.0,1
110.0,2500.0,,2.0,4
560.0,1300.0,,0.0,2
,810.0,,0.0,1
,,,,0
,,19.0,0.0,1
,,,,1
,,,,1
,,51.0,0.0,1
,330.0,,0.0,1
500.0,1500.0,,0.0,1
360.0,1200.0,,1.0,4
,,36.0,0.0,1
,,101.0,0.0,2
,,,,1
,,,,0
900.0,600.0,,0.0,3
,,,,0
,,27.0,0.0,1
,,49.0,0.0,1
20.0,640.0,,0.0,2
,,10.0,0.0,2
500.0,3500.0,,0.0,3
,500.0,,0.0,2
850.0,720.0,,1.0,4
370.0,530.0,,0.0,1
,,34.0,0.0,1
,,14.0,0.0,1
,,27.0,1.0,3
,,,,1
,,26.0,0.0,3
,,22.0,0.0,3
400.0,,20.0,0.0,2
,,21.0,0.0,2
,1600.0,,0.0,2
100.0,1200.0,,3.0,5
,,31.0,0.0,1
,,101.0,4.0,5
,,,,1
1200.0,250.0,,0.0,6
,,,,0
90.0,1400.0,,1.0,3
150.0,0.0,,0.0,2
2400.0,2000.0,,1.0,4
360.0,800.0,,1.0,4
,,,,1
,,21.0,0.0,4
180.0,1200.0,,2.0,4
,,36.0,0.0,1
30.0,1000.0,,0.0,1
160.0,1800.0,,0.0,1
,,25.0,0.0,1
,,,,1
,,16.0,0.0,2
,,9.0,0.0,3
,,,,1
,,,,1
1000.0,0.0,,3.0,6
,,32.0,0.0,1
250.0,,101.0,0.0,1
1600.0,1700.0,,0.0,2
50.0,,13.0,0.0,1
,,101.0,0.0,1
,,33.0,0.0,1
,,19.0,1.0,3
120.0,1300.0,,0.0,2
640.0,900.0,,2.0,4
,,12.0,0.0,1
1200.0,1100.0,,2.0,4
60.0,3500.0,,0.0,2
600.0,,15.0,0.0,1
,,,,1
480.0,,24.0,0.0,2
800.0,500.0,,0.0,2
,1100.0,,0.0,2
100.0,800.0,,0.0,1
100.0,1400.0,,0.0,2
,,10.0,2.0,3
550.0,2000.0,,0.0,3
1000.0,3000.0,,0.0,4
160.0,2000.0,,0.0,2
2400.0,,,0.0,1
,300.0,,0.0,1
,,45.0,0.0,1
900.0,,22.0,2.0,4
,940.0,,0.0,2
,,,,0
500.0,1200.0,,0.0,2
490.0,0.0,,0.0,2
,0.0,,0.0,1
,,26.0,1.0,3
,,,,1
600.0,3300.0,,0.0,4
700.0,1400.0,,0.0,2
1000.0,420.0,,1.0,3
,,101.0,0.0,1
1400.0,1200.0,,0.0,4
600.0,850.0,,0.0,1
810.0,1900.0,,0.0,5
,,,,0
,3000.0,,0.0,1
,,,,1
,,5.0,0.0,1
,,12.0,0.0,1
,,21.0,0.0,2
,600.0,,2.0,4
,,101.0,0.0,1
750.0,0.0,,0.0,3
,,33.0,1.0,3
,,,,1
600.0,0.0,,0.0,3
1600.0,2400.0,,0.0,3
470.0,1000.0,,0.0,2
300.0,500.0,,2.0,3
,500.0,,2.0,4
,1100.0,,0.0,5
,,22.0,0.0,1
1200.0,1800.0,,0.0,2
70.0,900.0,,0.0,2
,,,,0
,1900.0,,0.0,3
,,,,1
3600.0,2200.0,,2.0,7
,,63.0,0.0,2
,0.0,,0.0,1
1300.0,5900.0,,0.0,2
,0.0,,2.0,5
,,32.0,0.0,3
890.0,2100.0,,0.0,2
800.0,2000.0,,2.0,4
,,101.0,0.0,2
360.0,600.0,,0.0,1
,0.0,,0.0,2
1600.0,3000.0,,2.0,4
,440.0,,0.0,1
,,29.0,0.0,1
400.0,1500.0,,0.0,2
800.0,7700.0,,0.0,1
100.0,700.0,,0.0,2
400.0,800.0,,0.0,2
1200.0,,30.0,0.0,1
130.0,3100.0,,0.0,2
,,31.0,1.0,3
30.0,,62.0,0.0,1
1200.0,1800.0,,1.0,3
,,,,1
,,52.0,0.0,2
,,,,1
350.0,1700.0,,0.0,1
400.0,1000.0,,0.0,2
,,4.0,0.0,1
,,,,1
,,,,0
,,25.0,0.0,3
,,,,1
320.0,1000.0,,2.0,4
,,,,1
,,,,1
,840.0,,2.0,6
,1500.0,,0.0,3
740.0,1000.0,,0.0,2
3600.0,3500.0,,0.0,4
,2400.0,,0.0,1
250.0,600.0,,2.0,3
,,23.0,1.0,2
400.0,,24.0,0.0,2
,,101.0,1.0,2
,,,,1
150.0,700.0,,0.0,1
,,32.0,1.0,2
,,48.0,0.0,1
,,14.0,0.0,2
,,,,1
50.0,940.0,,2.0,4
,,,,1
800.0,880.0,,1.0,3
,,44.0,0.0,3
,,,,1
,970.0,,0.0,2
,,33.0,0.0,1
,,37.0,2.0,4
1300.0,0.0,,0.0,2
,800.0,,0.0,2
,,,,1
580.0,1200.0,,0.0,2
,,,,1
,,29.0,0.0,2
,,47.0,0.0,5
,,62.0,0.0,3
,,,,0
,1500.0,,0.0,2
,1000.0,,0.0,1
1400.0,1500.0,,2.0,4
,,14.0,0.0,4
250.0,1200.0,,0.0,2
1500.0,1600.0,,0.0,2
,,28.0,0.0,2
,,51.0,0.0,1
,,,,1
760.0,3400.0,,0.0,1
50.0,900.0,,0.0,1
,,34.0,0.0,1
,1600.0,,0.0,2
,,,,1
200.0,800.0,,0.0,2
,,58.0,0.0,2
1000.0,0.0,,0.0,2
800.0,900.0,,0.0,1
720.0,1700.0,,0.0,2
,,,,1
400.0,850.0,,0.0,3
,,28.0,2.0,4
,,,,1
,,,,1
300.0,2500.0,,2.0,4
,,59.0,0.0,1
,,17.0,1.0,2
400.0,,37.0,0.0,1
,,35.0,0.0,1
180.0,3200.0,,0.0,2
,,,,1
,,9.0,0.0,1
,,11.0,0.0,1
,,,,1
600.0,0.0,,1.0,4
,,32.0,1.0,2
,,56.0,0.0,2
630.0,1200.0,,0.0,2
,,,,1
120.0,2000.0,,0.0,1
1000.0,1800.0,,0.0,3
,,,,1
1200.0,740.0,,0.0,2
,,,,0
,,35.0,0.0,1
,,,,0
800.0,1400.0,,0.0,2
,,7.0,0.0,1
190.0,4700.0,,1.0,3
,,101.0,0.0,1
330.0,880.0,,0.0,2
,,,,0
,,30.0,0.0,1
290.0,950.0,,0.0,1
,,,,1
,,,,0
,0.0,,0.0,2
,,,,0
50.0,1500.0,,0.0,2
1100.0,,27.0,1.0,4
270.0,1100.0,,0.0,1
260.0,1400.0,,0.0,1
220.0,1200.0,,0.0,2
340.0,,13.0,0.0,3
,,57.0,0.0,3
,,,,1
,,,0.0,2
,500.0,,1.0,3
140.0,1800.0,,0.0,2
,2000.0,,2.0,4
,,29.0,0.0,1
,,5.0,0.0,2
,1000.0,,0.0,1
,,22.0,0.0,1
1200.0,1100.0,,1.0,3
2200.0,0.0,,1.0,4
1700.0,1500.0,,0.0,2
,400.0,,0.0,2
,1200.0,,0.0,4
,,15.0,0.0,2
870.0,1500.0,,0.0,2
,,,,0
,,6.0,0.0,2
900.0,,5.0,0.0,2
1000.0,800.0,,0.0,1
,,81.0,0.0,1
,1200.0,,0.0,2
450.0,2200.0,,0.0,5
,,18.0,0.0,1
,,25.0,0.0,2
,2200.0,,0.0,2
500.0,1000.0,,0.0,2
780.0,1200.0,,0.0,2
900.0,600.0,,0.0,2
,,,,0
500.0,610.0,,0.0,2
50.0,2000.0,,0.0,4
,,,,0
,,,,1
1300.0,1000.0,,1.0,3
,,,,1
,,22.0,0.0,2
680.0,120.0,,0.0,3
350.0,700.0,,0.0,2
300.0,,23.0,0.0,2
,,16.0,0.0,2
,,,,0
,1500.0,,1.0,3
1000.0,2000.0,,0.0,2
,,,,1
,,12.0,0.0,6
700.0,1200.0,,1.0,5
600.0,2300.0,,0.0,2
350.0,800.0,,0.0,1
,0.0,,2.0,4
1200.0,4000.0,,0.0,2
,,55.0,0.0,1
,,,,0
,,,,0
,,,,1
800.0,2000.0,,2.0,4
,,17.0,0.0,3
,0.0,,0.0,2
1500.0,100.0,,0.0,2
,,,,1
,840.0,,0.0,1
,,6.0,0.0,3
1200.0,,,0.0,1
,,51.0,0.0,2
,,36.0,0.0,1
,,80.0,0.0,3
70.0,,,0.0,1
150.0,1400.0,,0.0,2
,,32.0,2.0,3
,,31.0,0.0,1
,,,,1
,,27.0,0.0,1
20.0,250.0,,0.0,2
270.0,240.0,,0.0,2
,,,,0
1000.0,1100.0,,0.0,2
1400.0,900.0,,2.0,3
2000.0,2000.0,,0.0,2
,,,,1
400.0,180.0,,0.0,1
,,,,0
,1000.0,,0.0,2
,1400.0,,3.0,5
240.0,1200.0,,0.0,1
1700.0,7700.0,,0.0,1
,,35.0,0.0,2
600.0,0.0,,2.0,4
80.0,2200.0,,0.0,1
640.0,860.0,,0.0,3
,,31.0,0.0,1
1000.0,1000.0,,1.0,4
180.0,4400.0,,0.0,2
,,16.0,0.0,2
,,20.0,0.0,2
,,,,1
200.0,1200.0,,2.0,4
130.0,,,0.0,2
140.0,1000.0,,0.0,2
350.0,1800.0,,2.0,4
50.0,1000.0,,0.0,2
,,,,1
,,20.0,1.0,2
,,19.0,0.0,2
,,,0.0,3
100.0,850.0,,0.0,2
1200.0,350.0,,0.0,1
760.0,1100.0,,0.0,3
,,28.0,0.0,2
,2000.0,,0.0,1
,,66.0,0.0,1
,,37.0,1.0,2
900.0,1100.0,,0.0,4
,,,,1
,,19.0,0.0,1
670.0,2000.0,,0.0,5
,,30.0,0.0,2
,,,,1
500.0,,35.0,0.0,4
,300.0,,0.0,2
,,17.0,0.0,3
,,46.0,0.0,2
280.0,1900.0,,0.0,3
,,,,1
1200.0,1100.0,,0.0,2
,,,,0
600.0,700.0,,0.0,2
,,21.0,1.0,3
140.0,1500.0,,0.0,1
40.0,0.0,,0.0,2
500.0,1900.0,,0.0,1
,,101.0,0.0,1
800.0,600.0,,2.0,6
,,,,1
,,,,1
,800.0,,0.0,4
130.0,750.0,,0.0,2
300.0,800.0,,0.0,1
,1200.0,,2.0,4
,,,,1
540.0,630.0,,1.0,5
,,17.0,0.0,2
,,,,1
510.0,2000.0,,2.0,4
2000.0,500.0,,1.0,4
,,4.0,1.0,3
,,64.0,0.0,2
,,,0.0,2
600.0,2000.0,,0.0,4
340.0,950.0,,0.0,1
,,45.0,1.0,3
,,,,1
880.0,2700.0,,0.0,2
,,,,0
,,17.0,0.0,2
1000.0,800.0,,0.0,2
,1100.0,,0.0,2
,1400.0,,0.0,2
400.0,2000.0,,0.0,3
,600.0,,0.0,2
,1000.0,,2.0,4
80.0,1000.0,,0.0,2
,3000.0,,3.0,5
360.0,1800.0,,0.0,2
,,,,1
1400.0,5000.0,,0.0,3
,0.0,,0.0,1
,800.0,,0.0,1
,,14.0,0.0,1
,,,,1
1000.0,500.0,,1.0,3
1400.0,1900.0,,0.0,2
320.0,2100.0,,2.0,4
1100.0,0.0,,0.0,5
630.0,1800.0,,0.0,2
2100.0,1200.0,,0.0,2
710.0,2100.0,,0.0,2
1800.0,1600.0,,0.0,2
400.0,1900.0,,0.0,2
1200.0,2500.0,,0.0,2
600.0,600.0,,0.0,2
2800.0,1200.0,,1.0,3
,,,,1
,,,,1
1100.0,1400.0,,0.0,3
,,16.0,0.0,1
140.0,0.0,,0.0,3
,,,,0
,,,,1
,,39.0,0.0,2
,,9.0,0.0,4
,,26.0,0.0,1
,1000.0,,0.0,2
,,,,1
,,,,0
360.0,0.0,,1.0,3
,,,,1
,0.0,,0.0,1
720.0,1200.0,,0.0,2
,2000.0,,0.0,2
80.0,1200.0,,0.0,1
1000.0,600.0,,2.0,4
,,100.0,0.0,1
400.0,5000.0,,0.0,2
100.0,0.0,,1.0,3
,,,,1
1400.0,1300.0,,1.0,4
,,38.0,0.0,1
,1500.0,,0.0,4
1200.0,1200.0,,0.0,1
,,,,1
,,,,1
1800.0,1500.0,,0.0,3
,,20.0,0.0,2
,,,,1
1200.0,2200.0,,0.0,5
20.0,1200.0,,0.0,2
320.0,890.0,,2.0,4
,,10.0,0.0,2
400.0,800.0,,0.0,1
600.0,1400.0,,2.0,4
,,86.0,0.0,1
,,,,1
,,,,1
50.0,1200.0,,1.0,2
,,,,1
,,11.0,0.0,3
800.0,1000.0,,0.0,2
100.0,1800.0,,0.0,2
,,27.0,0.0,2
600.0,900.0,,0.0,2
690.0,1800.0,,0.0,3
,,,,0
,,,,1
500.0,1000.0,,0.0,3
310.0,2300.0,,0.0,2
,560.0,,0.0,1
350.0,2000.0,,0.0,2
,,51.0,0.0,1
140.0,610.0,,0.0,1
,,,,1
,,9.0,0.0,2
,,101.0,0.0,1
130.0,0.0,,0.0,2
,,39.0,3.0,4
,950.0,,0.0,3
,,37.0,0.0,2
,,31.0,0.0,2
1000.0,2100.0,,0.0,4
,,44.0,0.0,1
20.0,200.0,,0.0,1
,,22.0,0.0,3
170.0,1600.0,,0.0,7
490.0,850.0,,0.0,2
100.0,1100.0,,0.0,2
90.0,2100.0,,0.0,1
400.0,2500.0,,0.0,2
80.0,0.0,,0.0,2
,,99.0,0.0,4
,,,,0
,,,,1
50.0,1400.0,,0.0,1
,,14.0,0.0,2
,,78.0,0.0,1
,,,,1
,,,,1
,,,,1
,,19.0,0.0,1
20.0,1100.0,,0.0,1
800.0,0.0,,0.0,2
10.0,4.0,,0.0,1
740.0,2000.0,,0.0,3
230.0,1400.0,,0.0,1
,,,,0
480.0,650.0,,0.0,2
1300.0,2000.0,,2.0,4
160.0,,50.0,0.0,2
,,30.0,2.0,3
,,45.0,0.0,2
,,101.0,0.0,1
1600.0,3700.0,,0.0,2
,,10.0,0.0,1
,,,,1
700.0,1300.0,,3.0,5
,,101.0,0.0,1
920.0,1000.0,,3.0,5
450.0,370.0,,0.0,1
,,,,0
,,,,1
800.0,4000.0,,0.0,1
200.0,1500.0,,0.0,1
,,,,0
1500.0,1300.0,,0.0,3
,,,,1
1600.0,900.0,,0.0,2
,,,,1
110.0,1000.0,,0.0,2
,,101.0,0.0,1
,,18.0,2.0,4
,,25.0,0.0,3
,700.0,,0.0,1
1000.0,,26.0,2.0,4
,,31.0,0.0,1
1400.0,1600.0,,1.0,3
500.0,290.0,,0.0,3
,,29.0,0.0,2
,,,0.0,1
