AgeInYears,TravelTimeToWorkInMinutes,NumberOfPeopleInCarpool,HoursWorkedWeeklyInPastYear,TotalIncomeInDollars
83,,,,494500.0
38,10.0,1.0,40.0,80000.0
41,15.0,,50.0,90000.0
31,,,,0.0
28,,,40.0,112500.0
33,,,10.0,16800.0
28,60.0,1.0,40.0,40000.0
68,148.0,10.0,80.0,100290.0
1,,,,
54,25.0,1.0,40.0,96000.0
28,,,,0.0
55,30.0,1.0,50.0,120000.0
27,10.0,,8.0,57000.0
20,,,40.0,3000.0
47,5.0,1.0,40.0,85000.0
94,,,,28500.0
63,,,,0.0
36,,,,0.0
19,5.0,1.0,22.0,6000.0
44,40.0,,40.0,80000.0
18,,,12.0,1000.0
65,,,,1000.0
72,25.0,1.0,35.0,83000.0
63,,,,0.0
46,60.0,1.0,40.0,180000.0
31,15.0,1.0,40.0,38500.0
47,20.0,1.0,50.0,627000.0
47,,,48.0,225000.0
63,60.0,,32.0,68300.0
19,10.0,,6.0,600.0
58,50.0,1.0,50.0,109000.0
30,20.0,1.0,40.0,78000.0
71,,,,26000.0
8,,,,
72,20.0,2.0,45.0,113500.0
51,10.0,1.0,40.0,55000.0
55,,,,0.0
58,50.0,1.0,48.0,95000.0
26,,,45.0,400.0
44,90.0,2.0,40.0,36000.0
63,10.0,1.0,30.0,40000.0
41,10.0,1.0,50.0,104000.0
67,,,,0.0
46,5.0,1.0,8.0,6000.0
6,,,,
10,,,,
74,,,,14400.0
35,25.0,1.0,40.0,47800.0
5,,,,
25,10.0,,60.0,64000.0
70,,,,12000.0
56,15.0,1.0,40.0,20000.0
39,30.0,1.0,36.0,70000.0
63,20.0,1.0,20.0,3400.0
42,37.0,1.0,40.0,158000.0
44,90.0,1.0,40.0,99000.0
56,35.0,1.0,32.0,110000.0
28,30.0,,45.0,70000.0
33,60.0,1.0,50.0,100000.0
1,,,,
13,,,,
66,60.0,1.0,16.0,40000.0
44,15.0,1.0,32.0,83000.0
45,,,,8400.0
56,10.0,1.0,40.0,80000.0
53,,,,9200.0
94,,,,8000.0
54,40.0,1.0,34.0,70000.0
58,,,40.0,49000.0
21,,,40.0,2000.0
67,60.0,1.0,45.0,98000.0
32,25.0,1.0,40.0,75000.0
32,7.0,1.0,42.0,50000.0
54,25.0,1.0,70.0,200000.0
19,5.0,,20.0,6000.0
4,,,,
38,20.0,1.0,50.0,88300.0
40,30.0,2.0,8.0,5000.0
18,20.0,1.0,14.0,1400.0
26,10.0,1.0,40.0,102000.0
24,,,,0.0
11,,,,
63,30.0,1.0,50.0,90000.0
59,20.0,1.0,40.0,14500.0
89,,,,20000.0
53,,,,30000.0
51,15.0,1.0,20.0,24000.0
38,45.0,1.0,60.0,120000.0
50,20.0,1.0,40.0,50000.0
69,30.0,1.0,25.0,108000.0
80,,,,0.0
13,,,,
29,5.0,,15.0,25000.0
94,,,,50000.0
53,,,45.0,426000.0
8,,,,
2,,,,
75,5.0,1.0,5.0,29300.0
66,,,,178000.0
76,,,,73400.0
61,15.0,1.0,45.0,34400.0
64,,,48.0,438000.0
56,75.0,1.0,40.0,144000.0
