WaterCostInDollars,FireHazardFloodInsuranceYearlyCostInDollars,GrossRentAsPercentOfIncome,NumberOfChildrenInHousehold,NumberOfPeopleInHousehold
500.0,130.0,,0.0,2
,,10.0,0.0,1
590.0,0.0,,0.0,2
,,24.0,0.0,1
50.0,1100.0,,0.0,2
,,,0.0,1
700.0,2100.0,,0.0,2
780.0,400.0,,0.0,1
70.0,400.0,,0.0,2
,,61.0,0.0,1
20.0,20.0,,0.0,2
,,55.0,0.0,2
,,,,0
,,,,0
,,,,1
,,,,0
,,,,0
,,22.0,0.0,2
,1200.0,,0.0,1
,250.0,,0.0,2
240.0,0.0,,0.0,1
,,22.0,0.0,1
,0.0,,0.0,2
,,27.0,0.0,2
410.0,1500.0,,0.0,3
,,27.0,1.0,3
,,,0.0,1
,,73.0,0.0,2
,,,,1
240.0,0.0,,0.0,1
140.0,300.0,,2.0,4
,,21.0,0.0,2
480.0,1300.0,,1.0,3
,600.0,,2.0,4
980.0,,18.0,0.0,1
,,71.0,1.0,3
600.0,340.0,,1.0,5
240.0,0.0,,0.0,3
,,23.0,0.0,1
,,18.0,0.0,2
140.0,1200.0,,1.0,3
,,22.0,2.0,4
450.0,0.0,,0.0,3
,630.0,,0.0,1
150.0,250.0,,0.0,5
480.0,850.0,,0.0,2
600.0,800.0,,0.0,2
1600.0,2500.0,,0.0,2
,,,,0
50.0,400.0,,0.0,1
1800.0,,30.0,2.0,4
,,,,0
,0.0,,0.0,4
700.0,800.0,,0.0,2
,,43.0,0.0,1
60.0,500.0,,0.0,2
130.0,0.0,,0.0,1
70.0,100.0,,2.0,5
,,,,1
310.0,1400.0,,0.0,3
750.0,170.0,,0.0,2
180.0,1400.0,,0.0,2
720.0,0.0,,3.0,5
,,,,0
,2000.0,,0.0,7
90.0,660.0,,0.0,1
,800.0,,0.0,2
120.0,2000.0,,2.0,4
,,,,0
,1800.0,,0.0,3
600.0,850.0,,1.0,6
,0.0,,0.0,1
190.0,3000.0,,1.0,3
,,,,1
400.0,,,0.0,1
50.0,0.0,,0.0,2
,,44.0,0.0,1
100.0,1500.0,,2.0,4
80.0,,11.0,0.0,5
50.0,,65.0,0.0,1
,,34.0,0.0,1
,,36.0,3.0,4
100.0,900.0,,3.0,5
,,,,0
50.0,800.0,,0.0,1
,,42.0,0.0,1
780.0,0.0,,0.0,2
,,22.0,2.0,4
,,36.0,0.0,1
60.0,4.0,,0.0,2
,,,,0
370.0,0.0,,0.0,1
250.0,580.0,,0.0,3
,,,,0
2400.0,,45.0,1.0,4
,,,,0
,,,,1
90.0,550.0,,0.0,1
,,,,0
100.0,0.0,,0.0,3
600.0,600.0,,1.0,5
70.0,1100.0,,0.0,6
,,26.0,0.0,1
860.0,0.0,,0.0,1
,,80.0,0.0,1
,,,,0
470.0,700.0,,0.0,1
70.0,700.0,,0.0,1
,,13.0,0.0,2
1400.0,1000.0,,2.0,4
1300.0,1900.0,,2.0,4
,,,,0
180.0,5300.0,,0.0,2
,,22.0,0.0,1
,,19.0,0.0,1
50.0,930.0,,0.0,1
90.0,450.0,,1.0,3
,,,,0
60.0,0.0,,0.0,3
30.0,700.0,,0.0,1
,,,,0
630.0,630.0,,2.0,4
,0.0,,0.0,1
120.0,2500.0,,0.0,1
1200.0,1300.0,,1.0,3
3200.0,5300.0,,0.0,2
960.0,1200.0,,0.0,4
1900.0,940.0,,0.0,2
840.0,450.0,,0.0,1
,,,,1
550.0,,21.0,2.0,4
,,27.0,0.0,2
420.0,0.0,,0.0,5
30.0,,30.0,0.0,1
,,,,0
,,,,0
80.0,800.0,,0.0,2
30.0,,5.0,0.0,2
860.0,1200.0,,0.0,1
,0.0,,2.0,3
960.0,0.0,,0.0,2
,,8.0,3.0,7
,,,,0
370.0,0.0,,0.0,2
320.0,1400.0,,0.0,2
,,54.0,0.0,1
600.0,1000.0,,0.0,2
,,,,1
,,,,0
,,,,0
100.0,580.0,,0.0,2
,1700.0,,0.0,1
,3000.0,,0.0,1
,,23.0,1.0,3
3200.0,450.0,,0.0,2
,,,,1
1800.0,5300.0,,0.0,2
420.0,250.0,,1.0,3
60.0,1300.0,,1.0,2
720.0,710.0,,0.0,4
,,,,1
,,,,0
,,,,1
280.0,0.0,,0.0,1
60.0,750.0,,0.0,2
,,,,1
600.0,100.0,,0.0,2
1400.0,600.0,,0.0,3
,,,,1
,,,,1
60.0,,,1.0,5
,,,,0
,0.0,,0.0,1
650.0,1200.0,,1.0,3
4.0,,74.0,5.0,6
,,,,0
,,26.0,0.0,1
50.0,350.0,,2.0,4
110.0,660.0,,0.0,3
,,,,0
,,,,0
50.0,1500.0,,0.0,2
,,,,0
280.0,0.0,,0.0,2
,,,,0
600.0,1100.0,,2.0,4
480.0,,20.0,0.0,3
,,,,0
1200.0,1800.0,,0.0,2
40.0,920.0,,0.0,2
600.0,800.0,,1.0,3
70.0,800.0,,0.0,3
540.0,0.0,,1.0,5
1200.0,1500.0,,0.0,2
690.0,600.0,,1.0,3
,,,,0
,0.0,,0.0,1
600.0,0.0,,0.0,4
,480.0,,0.0,1
,0.0,,0.0,1
,,86.0,0.0,1
,,101.0,1.0,2
,1200.0,,0.0,1
,0.0,,0.0,1
50.0,700.0,,0.0,1
500.0,1200.0,,0.0,2
240.0,,,0.0,1
900.0,1200.0,,0.0,1
,,,,1
,0.0,,0.0,1
,,9.0,0.0,2
660.0,,23.0,2.0,3
450.0,,39.0,5.0,7
420.0,400.0,,2.0,3
70.0,3000.0,,2.0,5
960.0,1600.0,,2.0,4
,,,,0
400.0,0.0,,0.0,8
,,,,0
780.0,1700.0,,2.0,4
150.0,1500.0,,0.0,1
120.0,,26.0,0.0,1
1200.0,0.0,,0.0,2
,,20.0,1.0,2
150.0,800.0,,0.0,4
900.0,900.0,,3.0,5
,1800.0,,0.0,2
1300.0,0.0,,0.0,1
,0.0,,0.0,2
,1200.0,,0.0,1
,4.0,,0.0,7
1200.0,440.0,,0.0,2
140.0,,6.0,0.0,2
100.0,0.0,,0.0,6
90.0,1100.0,,0.0,2
70.0,3000.0,,1.0,3
540.0,,,3.0,5
700.0,,26.0,0.0,1
70.0,800.0,,0.0,2
360.0,1600.0,,0.0,1
,0.0,,0.0,2
,5300.0,,0.0,1
,,34.0,0.0,1
700.0,800.0,,0.0,2
,,11.0,0.0,1
,1200.0,,0.0,6
,,,,1
,,,,1
,,15.0,2.0,4
,,,0.0,1
,,,,1
,,75.0,1.0,4
,,,0.0,1
960.0,1000.0,,3.0,5
,,,,0
,,,,0
40.0,,18.0,2.0,5
,,27.0,2.0,3
1800.0,0.0,,0.0,1
1200.0,0.0,,2.0,5
,1000.0,,1.0,4
