AgeInYears,TravelTimeToWorkInMinutes,NumberOfPeopleInCarpool,HoursWorkedWeeklyInPastYear,TotalIncomeInDollars
94,,,,8400.0
54,45.0,1.0,40.0,35000.0
51,,,35.0,8800.0
19,,,,0.0
9,,,,
81,,,,14000.0
94,,,,23000.0
61,10.0,1.0,48.0,15900.0
60,,,,3900.0
45,15.0,1.0,60.0,40000.0
16,,,,0.0
67,,,,9900.0
22,10.0,1.0,25.0,3200.0
57,,,,27600.0
56,10.0,,4.0,26500.0
69,,,30.0,72000.0
7,,,,
18,,,,0.0
28,10.0,,40.0,62000.0
69,,,,30250.0
33,,,60.0,530.0
17,,,5.0,2000.0
62,,,,11200.0
22,10.0,2.0,35.0,6000.0
65,,,,0.0
33,2.0,1.0,40.0,58000.0
69,,,,10200.0
76,,,,276800.0
35,20.0,1.0,40.0,50000.0
11,,,,
67,,,,10000.0
63,,,,1500.0
80,,,,156900.0
67,,,,0.0
41,30.0,1.0,40.0,58000.0
60,45.0,4.0,55.0,60000.0
17,1.0,1.0,32.0,220.0
10,,,,
48,5.0,1.0,40.0,40000.0
51,15.0,1.0,40.0,60000.0
38,10.0,1.0,32.0,9000.0
41,,,55.0,16010.0
48,15.0,1.0,40.0,22400.0
0,,,,
39,20.0,1.0,40.0,19200.0
15,,,,1300.0
7,,,,
73,,,,16000.0
75,,,,84100.0
80,,,,20000.0
16,,,,0.0
27,25.0,1.0,40.0,48000.0
40,15.0,1.0,40.0,15900.0
22,5.0,1.0,25.0,10000.0
57,15.0,1.0,40.0,30000.0
33,,,12.0,5980.0
53,45.0,1.0,40.0,34000.0
36,40.0,1.0,40.0,25000.0
21,,,,0.0
13,,,,
2,,,,
64,5.0,,35.0,14400.0
62,,,,0.0
11,,,,
60,153.0,1.0,40.0,64000.0
3,,,,
67,,,,24000.0
47,20.0,1.0,40.0,50600.0
43,,,40.0,44000.0
14,,,,
4,,,,
3,,,,
45,,,,0.0
53,15.0,1.0,40.0,13200.0
2,,,,
60,,,20.0,71000.0
69,,,,37200.0
44,30.0,1.0,40.0,187000.0
75,,,,8100.0
36,,,,9700.0
73,,,,155000.0
20,10.0,1.0,45.0,25000.0
54,,,,0.0
62,,,,0.0
30,10.0,,20.0,8000.0
69,15.0,1.0,40.0,40000.0
13,,,,
32,15.0,1.0,40.0,102000.0
22,45.0,1.0,20.0,18000.0
47,25.0,1.0,40.0,44000.0
39,,,40.0,29000.0
46,20.0,1.0,40.0,160000.0
63,,,,12000.0
10,,,,
50,10.0,1.0,40.0,60000.0
48,10.0,1.0,40.0,35000.0
82,,,,8400.0
81,,,,22000.0
52,,,,12800.0
69,,,,24300.0
63,,,,1200.0
28,40.0,1.0,40.0,60000.0
77,,,,12000.0
54,60.0,1.0,50.0,36000.0
12,,,,
52,20.0,1.0,40.0,50000.0
17,,,,0.0
13,,,,
81,,,,10800.0
3,,,,
53,30.0,1.0,50.0,60000.0
38,20.0,1.0,40.0,47500.0
64,,,,15000.0
39,30.0,1.0,40.0,30000.0
7,,,,
43,9.0,1.0,47.0,42000.0
2,,,,
51,,,40.0,13300.0
56,30.0,1.0,25.0,35000.0
1,,,,
42,,,25.0,36900.0
37,15.0,1.0,40.0,120000.0
60,15.0,1.0,40.0,140000.0
56,,,,30.0
22,10.0,1.0,40.0,18700.0
62,,,4.0,20600.0
9,,,,
54,,,,9000.0
20,,,,0.0
71,,,,0.0
6,,,,
62,45.0,1.0,40.0,44000.0
82,,,,18160.0
17,,,,0.0
94,,,,5000.0
63,20.0,1.0,20.0,22900.0
8,,,,
71,,,2.0,30100.0
16,,,,0.0
18,10.0,1.0,20.0,8000.0
57,8.0,1.0,60.0,35000.0
36,20.0,1.0,40.0,15000.0
57,30.0,1.0,45.0,342000.0
7,,,,
77,,,,0.0
70,,,,3600.0
68,,,,50500.0
27,40.0,1.0,40.0,100000.0
69,,,,0.0
40,25.0,1.0,36.0,120000.0
48,20.0,1.0,40.0,33000.0
32,,,40.0,70000.0
70,,,,9600.0
23,5.0,,30.0,8000.0
58,40.0,2.0,40.0,28000.0
76,,,,91900.0
41,15.0,1.0,40.0,120000.0
68,,,,276600.0
54,,,,0.0
34,,,,6600.0
38,10.0,1.0,40.0,25000.0
31,,,,0.0
30,25.0,1.0,40.0,80000.0
47,15.0,1.0,40.0,17600.0
5,,,,
36,,,,0.0
75,,,,21600.0
60,,,,25200.0
87,,,,13300.0
3,,,,
51,,,,8920.0
36,,,,24900.0
19,,,,0.0
46,60.0,1.0,40.0,50000.0
42,,,30.0,7000.0
62,20.0,1.0,14.0,39800.0
0,,,,
89,,,,146310.0
47,30.0,1.0,40.0,30000.0
41,,,,0.0
28,,,,6000.0
34,30.0,1.0,40.0,55000.0
8,,,,
61,,,,42200.0
40,,,28.0,20500.0
81,,,,67970.0
55,,,,720.0
15,,,,0.0
31,20.0,1.0,30.0,12000.0
66,,,20.0,58000.0
32,20.0,2.0,40.0,36000.0
62,,,,36000.0
61,10.0,1.0,40.0,40000.0
44,15.0,,32.0,15400.0
53,20.0,1.0,5.0,22700.0
42,,,,0.0
19,5.0,1.0,15.0,4400.0
7,,,,
80,,,40.0,172100.0
64,20.0,1.0,40.0,104800.0
67,45.0,1.0,40.0,87000.0
10,,,,
56,,,,0.0
23,45.0,1.0,40.0,24000.0
24,,,,15900.0
