WaterCostInDollars,FireHazardFloodInsuranceYearlyCostInDollars,GrossRentAsPercentOfIncome,NumberOfChildrenInHousehold,NumberOfPeopleInHousehold
,900.0,,0.0,2
,,,,0
,,,,1
,,29.0,0.0,1
,,101.0,2.0,3
1000.0,500.0,,0.0,1
860.0,1100.0,,0.0,1
,610.0,,0.0,2
,,22.0,0.0,1
1500.0,750.0,,0.0,1
,,,1.0,3
,,38.0,0.0,3
,,59.0,0.0,2
1500.0,600.0,,0.0,3
880.0,,46.0,1.0,3
,,101.0,0.0,1
1800.0,,62.0,3.0,5
,,,,1
50.0,600.0,,4.0,6
,,,,1
1300.0,600.0,,0.0,2
,,,,1
,,,,0
90.0,500.0,,1.0,5
1200.0,830.0,,0.0,2
,,,,1
50.0,600.0,,3.0,5
,,,,0
1100.0,,29.0,0.0,6
,,24.0,0.0,2
,,30.0,1.0,3
80.0,690.0,,0.0,2
,,,,1
1200.0,0.0,,0.0,3
,,25.0,0.0,1
70.0,1800.0,,0.0,3
1400.0,860.0,,0.0,2
1200.0,500.0,,0.0,2
110.0,,45.0,0.0,1
1500.0,530.0,,0.0,2
1100.0,450.0,,5.0,7
,,20.0,2.0,4
,,,,1
300.0,1200.0,,2.0,4
,,,,0
1500.0,800.0,,0.0,3
,600.0,,0.0,2
920.0,750.0,,0.0,1
,,,,1
280.0,,,0.0,2
700.0,1400.0,,0.0,2
1400.0,1000.0,,0.0,2
150.0,1500.0,,0.0,4
80.0,110.0,,0.0,2
,1100.0,,0.0,5
760.0,100.0,,0.0,2
,,,,0
1100.0,1000.0,,2.0,4
1000.0,600.0,,0.0,4
800.0,490.0,,0.0,4
,,,,1
1000.0,500.0,,0.0,2
,,,,0
830.0,500.0,,0.0,2
700.0,800.0,,0.0,2
,,80.0,0.0,1
1200.0,600.0,,3.0,5
,,,,1
910.0,930.0,,0.0,2
,,38.0,0.0,2
1400.0,,38.0,0.0,2
,,26.0,2.0,4
1200.0,,20.0,0.0,4
1100.0,660.0,,0.0,2
,650.0,,0.0,2
,,20.0,0.0,2
,2500.0,,0.0,2
,,43.0,0.0,2
880.0,,101.0,0.0,3
,,,,1
500.0,1000.0,,0.0,1
150.0,1100.0,,2.0,4
,40.0,,0.0,3
,,34.0,0.0,2
900.0,0.0,,0.0,2
1200.0,180.0,,0.0,1
,,17.0,3.0,5
1400.0,500.0,,0.0,3
,,31.0,0.0,2
,500.0,,0.0,2
1000.0,650.0,,1.0,3
,,,,1
450.0,0.0,,0.0,2
,,,0.0,1
,0.0,,0.0,1
,,54.0,0.0,2
,,91.0,2.0,4
1000.0,2100.0,,1.0,3
2200.0,600.0,,3.0,7
,,,,0
,,,,0
,,71.0,0.0,2
,,62.0,0.0,1
,600.0,,0.0,3
,,,,1
,0.0,,0.0,2
,,,,1
1100.0,,,0.0,1
,430.0,,0.0,2
,,,,0
,200.0,,0.0,1
240.0,,24.0,0.0,2
600.0,1200.0,,0.0,2
330.0,400.0,,0.0,2
2200.0,450.0,,0.0,1
120.0,130.0,,0.0,2
,,38.0,0.0,3
900.0,600.0,,0.0,1
,420.0,,0.0,3
650.0,600.0,,0.0,1
,,46.0,0.0,1
,,,,0
150.0,,22.0,0.0,2
,,29.0,0.0,2
1700.0,500.0,,0.0,2
1200.0,400.0,,0.0,2
330.0,660.0,,0.0,2
1400.0,630.0,,0.0,2
,,12.0,0.0,2
,260.0,,0.0,2
,0.0,,0.0,6
,,86.0,0.0,1
400.0,700.0,,0.0,2
600.0,,18.0,0.0,2
300.0,500.0,,0.0,2
720.0,1200.0,,0.0,2
,,27.0,0.0,1
,,25.0,0.0,1
780.0,600.0,,0.0,2
230.0,0.0,,0.0,3
600.0,1200.0,,0.0,2
1600.0,820.0,,0.0,2
790.0,5400.0,,0.0,2
,,,,1
,,30.0,0.0,1
900.0,2000.0,,0.0,2
1200.0,0.0,,2.0,5
50.0,0.0,,0.0,1
1100.0,0.0,,0.0,3
,,48.0,0.0,1
1500.0,,26.0,0.0,1
,,,,1
1200.0,400.0,,0.0,2
500.0,1000.0,,0.0,2
,700.0,,0.0,2
700.0,1200.0,,3.0,6
,0.0,,0.0,2
1100.0,700.0,,0.0,1
,,,,0
,,,,1
1300.0,690.0,,0.0,4
,,,0.0,2
120.0,360.0,,0.0,2
840.0,200.0,,0.0,2
970.0,360.0,,0.0,2
,,32.0,0.0,1
480.0,,45.0,1.0,2
,1000.0,,0.0,2
,,22.0,0.0,1
1700.0,1300.0,,0.0,2
1200.0,870.0,,0.0,2
,3200.0,,0.0,1
200.0,1000.0,,0.0,1
,1200.0,,0.0,2
,,30.0,0.0,3
750.0,,27.0,1.0,2
1200.0,600.0,,0.0,2
3300.0,600.0,,0.0,2
720.0,5400.0,,3.0,5
,,29.0,0.0,1
290.0,400.0,,0.0,2
300.0,1400.0,,0.0,1
1300.0,,13.0,3.0,5
960.0,,20.0,0.0,2
1200.0,800.0,,1.0,3
,,,,0
1300.0,1200.0,,1.0,3
,,,,1
,,,,1
,,,,1
50.0,1000.0,,0.0,2
180.0,460.0,,0.0,2
1200.0,,38.0,0.0,2
50.0,400.0,,0.0,2
,550.0,,0.0,2
,,,,0
1100.0,700.0,,0.0,1
200.0,1000.0,,0.0,1
,,25.0,0.0,1
860.0,0.0,,0.0,1
,,23.0,0.0,1
,,,,1
,,,0.0,2
,,,,1
1000.0,,101.0,0.0,1
,700.0,,0.0,3
,,101.0,0.0,1
170.0,1000.0,,0.0,2
490.0,650.0,,0.0,1
,,,,0
1200.0,1100.0,,0.0,2
590.0,500.0,,0.0,1
,900.0,,0.0,2
90.0,480.0,,0.0,2
,,16.0,0.0,1
,400.0,,0.0,1
,,19.0,1.0,2
,2000.0,,0.0,1
780.0,,,0.0,2
540.0,2500.0,,0.0,2
,,19.0,0.0,2
2600.0,1100.0,,0.0,2
480.0,460.0,,0.0,2
,,,,1
,,,,0
840.0,430.0,,0.0,2
,,,,1
1200.0,1200.0,,0.0,1
,1500.0,,0.0,2
,,,,1
,2000.0,,0.0,2
130.0,300.0,,0.0,2
960.0,300.0,,0.0,2
,,101.0,0.0,1
,,,,0
510.0,0.0,,0.0,2
1500.0,1400.0,,0.0,2
,,,,1
,1000.0,,3.0,5
600.0,,17.0,0.0,1
110.0,,29.0,0.0,2
,,12.0,0.0,1
180.0,550.0,,3.0,5
,,,,0
1400.0,800.0,,2.0,4
,,,,1
170.0,300.0,,1.0,2
