AgeInYears,TravelTimeToWorkInMinutes,NumberOfPeopleInCarpool,HoursWorkedWeeklyInPastYear,TotalIncomeInDollars
51,,,,40000.0
17,,,,3000.0
13,,,,
48,25.0,1.0,40.0,15000.0
63,,,,31400.0
38,,,,74000.0
16,,,,0.0
16,,,,0.0
66,,,,17000.0
68,,,,76000.0
33,40.0,,40.0,110000.0
27,,,,20000.0
88,,,,22400.0
4,,,,
26,,,,0.0
67,,,,12500.0
38,25.0,1.0,40.0,40000.0
63,20.0,1.0,30.0,10100.0
37,5.0,1.0,20.0,10800.0
48,5.0,1.0,30.0,17500.0
51,5.0,1.0,58.0,51000.0
71,,,,63800.0
59,20.0,1.0,45.0,75000.0
82,,,,0.0
10,,,,
68,60.0,,40.0,134000.0
20,,,40.0,18000.0
57,6.0,1.0,45.0,78000.0
68,,,,10800.0
30,,,,9200.0
14,,,,
39,,,,430.0
44,15.0,1.0,48.0,78000.0
65,,,,74700.0
56,,,,12000.0
17,,,12.0,6000.0
68,25.0,1.0,4.0,25000.0
16,,,,0.0
61,,,40.0,48000.0
56,20.0,1.0,40.0,48000.0
8,,,,
17,,,,0.0
34,,,30.0,99000.0
65,30.0,1.0,40.0,53800.0
36,15.0,,40.0,23100.0
62,,,,8600.0
58,,,12.0,46800.0
21,20.0,1.0,40.0,15000.0
55,20.0,2.0,40.0,36000.0
80,,,,244400.0
2,,,,
53,,,,3000.0
12,,,,
23,40.0,1.0,22.0,17000.0
3,,,,
39,,,,0.0
64,30.0,1.0,80.0,114000.0
49,,,20.0,40000.0
66,,,,760.0
17,4.0,1.0,15.0,5900.0
84,,,,25500.0
29,,,40.0,145500.0
95,,,,67100.0
0,,,,
3,,,,
85,,,,32300.0
1,,,,
52,20.0,1.0,6.0,13800.0
61,1.0,,40.0,30000.0
65,45.0,1.0,45.0,110000.0
36,95.0,1.0,40.0,63200.0
8,,,,
70,5.0,,40.0,51004.0
9,,,,
66,,,,38700.0
29,30.0,1.0,24.0,60000.0
76,,,,78000.0
53,,,40.0,87700.0
82,,,,22500.0
33,100.0,,20.0,16000.0
37,,,,0.0
83,,,,0.0
41,6.0,1.0,27.0,9500.0
15,,,,0.0
4,,,,
5,,,,
5,,,,
20,,,,0.0
12,,,,
6,,,,
29,,,,0.0
52,155.0,1.0,40.0,86000.0
69,,,8.0,18000.0
67,,,,11770.0
37,20.0,1.0,20.0,60000.0
47,15.0,1.0,40.0,39740.0
10,,,,
52,,,,200.0
31,60.0,1.0,40.0,37800.0
95,,,,15000.0
61,30.0,1.0,40.0,95000.0
67,,,,52600.0
58,15.0,1.0,40.0,66000.0
83,,,,14400.0
20,30.0,1.0,20.0,24000.0
65,,,,11000.0
46,30.0,1.0,40.0,37000.0
17,,,,0.0
9,,,,
91,,,,18000.0
1,,,,
4,,,,
41,30.0,1.0,36.0,96000.0
13,,,,
26,10.0,1.0,45.0,38000.0
56,20.0,1.0,4.0,8900.0
32,30.0,,37.0,15600.0
0,,,,
2,,,,
10,,,,
36,155.0,1.0,40.0,50000.0
31,60.0,,30.0,25000.0
40,60.0,1.0,24.0,55000.0
29,15.0,1.0,40.0,33500.0
46,40.0,1.0,17.0,21100.0
51,,,,9400.0
68,15.0,1.0,20.0,18400.0
0,,,,
57,20.0,1.0,40.0,414000.0
33,3.0,1.0,60.0,414000.0
75,,,,22500.0
50,30.0,2.0,40.0,53000.0
51,,,,0.0
36,,,,0.0
37,30.0,1.0,45.0,10800.0
1,,,,
53,,,,0.0
64,,,4.0,62900.0
4,,,,
14,,,,
33,,,,0.0
59,15.0,1.0,60.0,96030.0
70,,,,16200.0
86,,,,17300.0
35,60.0,,20.0,24000.0
43,60.0,1.0,36.0,10000.0
39,17.0,1.0,59.0,70000.0
74,,,,30300.0
83,,,,24100.0
69,,,,286700.0
8,,,,
17,,,,0.0
14,,,,
31,20.0,1.0,12.0,6200.0
39,,,27.0,72000.0
18,,,,15000.0
42,10.0,1.0,40.0,170000.0
77,,,,15400.0
36,15.0,1.0,40.0,37000.0
71,,,,23000.0
53,,,,0.0
81,,,,1070.0
24,12.0,1.0,45.0,20000.0
69,,,,53000.0
48,5.0,1.0,44.0,42000.0
12,,,,
38,25.0,1.0,12.0,13000.0
67,5.0,1.0,6.0,29000.0
37,40.0,,60.0,44000.0
7,,,,
38,15.0,1.0,25.0,250000.0
32,,,45.0,9100.0
51,30.0,1.0,50.0,40000.0
33,,,,0.0
5,,,,
9,,,,
40,15.0,1.0,45.0,45000.0
19,,,40.0,4000.0
16,,,,0.0
6,,,,
73,,,,7000.0
16,,,,0.0
72,,,4.0,32530.0
55,15.0,1.0,40.0,42000.0
57,30.0,1.0,40.0,50200.0
48,,,,220000.0
47,30.0,1.0,30.0,46600.0
62,30.0,1.0,40.0,48000.0
43,30.0,2.0,40.0,62000.0
34,14.0,1.0,45.0,34000.0
25,60.0,2.0,40.0,30000.0
67,,,,37000.0
30,,,,0.0
63,,,,41000.0
50,45.0,1.0,40.0,56000.0
10,,,,
65,,,,38000.0
39,20.0,1.0,40.0,352300.0
58,20.0,1.0,40.0,37000.0
49,,,65.0,11000.0
43,30.0,1.0,40.0,22200.0
68,,,,10200.0
18,30.0,1.0,27.0,12000.0
49,40.0,1.0,30.0,19400.0
18,,,10.0,25500.0
19,30.0,,25.0,10000.0
20,15.0,1.0,50.0,24000.0
50,20.0,,32.0,58000.0
4,,,,
21,15.0,4.0,8.0,13900.0
15,,,,0.0
72,,,,64300.0
72,,,,8300.0
48,25.0,1.0,40.0,75000.0
85,,,,9600.0
59,5.0,1.0,40.0,45300.0
78,,,,39000.0
27,2.0,1.0,55.0,43200.0
39,,,38.0,18900.0
35,20.0,1.0,15.0,1100.0
46,15.0,1.0,40.0,80000.0
18,,,,0.0
73,,,,36720.0
10,,,,
43,90.0,5.0,40.0,40000.0
21,15.0,,21.0,12000.0
26,10.0,,40.0,16000.0
0,,,,
36,,,48.0,22500.0
34,,,,0.0
54,60.0,,40.0,31000.0
89,,,,206000.0
31,,,40.0,52000.0
69,,,,23600.0
75,,,,22400.0
11,,,,
16,,,,0.0
37,,,35.0,414000.0
45,30.0,1.0,45.0,83000.0
43,5.0,1.0,40.0,415000.0
13,,,,
55,,,32.0,76800.0
20,25.0,1.0,20.0,8000.0
62,,,,0.0
37,,,,0.0
37,,,,0.0
89,,,,12000.0
32,15.0,1.0,33.0,25200.0
12,,,,
62,,,16.0,7400.0
85,,,,22000.0
70,,,,24000.0
35,40.0,1.0,35.0,26000.0
58,95.0,1.0,40.0,78000.0
45,,,,0.0
38,7.0,1.0,40.0,75000.0
33,,,40.0,67000.0
68,,,,22930.0
70,,,,18000.0
3,,,,
64,,,,24000.0
58,20.0,1.0,40.0,30000.0
47,10.0,1.0,55.0,8500.0
54,20.0,1.0,40.0,95000.0
84,,,,19000.0
1,,,,
9,,,,
75,30.0,2.0,30.0,28800.0
19,10.0,1.0,35.0,8100.0
63,,,50.0,25000.0
49,,,65.0,53400.0
61,,,,9000.0
54,50.0,,44.0,414020.0
7,,,,
47,40.0,,50.0,130000.0
18,,,,0.0
29,,,43.0,37000.0
29,,,,300.0
15,,,,0.0
36,,,40.0,25900.0
42,45.0,,40.0,79500.0
24,15.0,2.0,10.0,7500.0
61,,,,0.0
62,45.0,,42.0,130000.0
81,,,,60400.0
61,,,,0.0
48,30.0,1.0,40.0,27900.0
77,,,,10600.0
48,,,40.0,96000.0
5,,,,
1,,,,
27,25.0,,65.0,60000.0
47,15.0,1.0,40.0,35000.0
68,25.0,1.0,50.0,27600.0
85,,,,22000.0
54,30.0,1.0,52.0,98000.0
30,35.0,2.0,50.0,59000.0
44,12.0,1.0,9.0,70800.0
44,30.0,1.0,40.0,60000.0
56,10.0,1.0,10.0,11000.0
1,,,,
39,20.0,3.0,30.0,18000.0
40,30.0,1.0,60.0,131100.0
43,5.0,1.0,45.0,44000.0
53,10.0,1.0,15.0,13600.0
19,10.0,,30.0,30000.0
69,,,,26900.0
69,,,,19000.0
27,7.0,1.0,40.0,40000.0
58,15.0,1.0,40.0,50000.0
52,,,,0.0
30,25.0,1.0,45.0,20000.0
29,15.0,1.0,40.0,25000.0
71,,,,8400.0
8,,,,
25,30.0,1.0,20.0,15000.0
71,,,,70000.0
10,,,,
58,,,16.0,13900.0
0,,,,
79,,,,17000.0
27,,,,0.0
19,,,,0.0
60,,,40.0,24900.0
45,60.0,1.0,32.0,250000.0
55,,,25.0,18000.0
37,20.0,3.0,16.0,24000.0
2,,,,
70,,,,8800.0
54,,,40.0,40000.0
15,,,,0.0
59,35.0,2.0,45.0,65000.0
59,,,,12000.0
41,60.0,1.0,50.0,104000.0
68,,,,24100.0
71,,,,24000.0
15,,,,0.0
8,,,,
28,13.0,1.0,40.0,44000.0
67,,,,14400.0
38,6.0,1.0,55.0,90600.0
75,,,,7800.0
62,40.0,1.0,32.0,24000.0
30,15.0,1.0,40.0,12000.0
61,,,,5600.0
76,,,,126000.0
13,,,,
30,45.0,1.0,32.0,20000.0
35,,,,1000.0
3,,,,
43,10.0,1.0,34.0,30000.0
63,,,46.0,33000.0
68,,,44.0,73000.0
36,15.0,,40.0,80100.0
46,10.0,4.0,40.0,46100.0
16,,,,0.0
49,,,40.0,121000.0
69,,,,9400.0
56,,,30.0,28890.0
3,,,,
40,10.0,1.0,40.0,95900.0
65,,,,12100.0
68,,,,9600.0
46,,,,8400.0
4,,,,
76,,,,66700.0
3,,,,
8,,,,
67,30.0,1.0,45.0,125400.0
23,6.0,2.0,4.0,2000.0
55,8.0,1.0,50.0,65000.0
23,,,84.0,30000.0
66,,,,6700.0
68,,,30.0,61000.0
76,,,,26600.0
67,,,,43200.0
42,15.0,1.0,40.0,130000.0
58,5.0,1.0,40.0,56000.0
34,35.0,2.0,60.0,49000.0
58,15.0,1.0,40.0,31000.0
39,5.0,2.0,45.0,21000.0
66,,,15.0,40000.0
40,25.0,2.0,50.0,255000.0
